product,inventoried_quantity
DLOMYP400515,0
DLOMYP400515,0
DLOMYP400515,0
DLOMYP400516,0
DLOMYP400516,0
DLOMYP400516,0
DLOMYP400517,0
DLOMYP400517,0
DLOMYP400517,0
DLMMOP400525,0
DLMMOP400525,0
DLMMOP400525,0
DLMMOP400526,0
DLMMOP400526,0
DLMMOP400526,0
DLMMOP400527,0
DLMMOP400527,0
DLMMOP400527,0
DLOMYP500527,0
DLOMYP500527,0
DLOMYP500527,0
DLOMYP500528,0
DLOMYP500528,0
DLOMYP500528,0
DLOMYP500529,2
DLOMYP500529,2
DLOMYP500529,2
DLOMYP500530,0
DLOMYP500530,0
DLOMYP500530,0
DLOMYP500531,0
DLOMYP500531,0
DLOMYP500531,0
DLOMYP500533,17
DLOMYP500533,17
DLOMYP500533,17
DLOMYP500534,0
DLOMYP500534,0
DLOMYP500534,0
DLOMYP500535,0
DLOMYP500535,0
DLOMYP500535,0
DLOMYP500536,0
DLOMYP500536,0
DLOMYP500536,0
DLOMYP500537,19
DLOMYP500537,19
DLOMYP500537,19
DLOMYP500538,0
DLOMYP500538,0
DLOMYP500538,0
DLOMYP500539,0
DLOMYP500539,0
DLOMYP500539,0
DLOMYP400518,0
DLOMYP400518,0
DLOMYP400518,0
DLOMYP500541,13
DLOMYP500541,13
DLOMYP500541,13
DLOMYP500542,13
DLOMYP500542,13
DLOMYP500542,13
HLOY10OLED40LSP,0
HLOY10OLED40LSP,0
HLOY10OLED40LSP,0
HLOY10OLED40BRP,0
HLOY10OLED40BRP,0
HLOY10OLED40BRP,0
HLOR13SEO50KPFG,0
HLOR13SEO50KPFG,0
HLOR13SEO50KPFG,0
DLOMYP500543,14
DLOMYP500543,14
DLOMYP500543,14
DLMMOP500546,0
DLMMOP500546,0
DLMMOP500546,0
DLOMYP500555,17
DLOMYP500555,17
DLOMYP500555,17
DLMMTS500101,606
DLMMTS500101,606
DLMMTS500101,606
DLMMTS500102,415
DLMMTS500102,415
DLMMTS500102,415
DLMMTS500103,261
DLMMTS500103,261
DLMMTS500103,261
DLMMTS500104,545
DLMMTS500104,545
DLMMTS500104,545
DLMMTS500105,522
DLMMTS500105,522
DLMMTS500105,522
DLMMTS500106,357
DLMMTS500106,357
DLMMTS500106,357
DLMMTS500113,24
DLMMTS500113,24
DLMMTS500113,24
DLMMTS500108,646
DLMMTS500108,646
DLMMTS500108,646
DLMMTS500114,501
DLMMTS500114,501
DLMMTS500114,501
DLMMTS500115,490
DLMMTS500115,490
DLMMTS500115,490
DLMMTS500109,342
DLMMTS500109,342
DLMMTS500109,342
DLMMTS500110,1010
DLMMTS500110,1010
DLMMTS500110,1010
DLMMTS500111,454
DLMMTS500111,454
DLMMTS500111,454
DLMMTS500112,584
DLMMTS500112,584
DLMMTS500112,584
DLMMTS500107,0
DLMMTS500107,0
DLMMTS500107,0
DLMMO500201,374
DLMMO500201,374
DLMMO500201,374
DLMMO500202,313
DLMMO500202,313
DLMMO500202,313
DLMMO500203,416
DLMMO500203,416
DLMMO500203,416
DLMMO500204,380
DLMMO500204,380
DLMMO500204,380
DLMMO500205,120
DLMMO500205,120
DLMMO500205,120
DLMMO500206,222
DLMMO500206,222
DLMMO500206,222
DLMMO500207,527
DLMMO500207,527
DLMMO500207,527
DLMMO500208,60
DLMMO500208,60
DLMMO500208,60
DLMMO500209,45
DLMMO500209,45
DLMMO500209,45
DLMMO500210,59
DLMMO500210,59
DLMMO500210,59
DLMMO500211,112
DLMMO500211,112
DLMMO500211,112
DLMMO500212,614
DLMMO500212,614
DLMMO500212,614
DLMMO500213,336
DLMMO500213,336
DLMMO500213,336
DLMMO500214,0
DLMMO500214,0
DLMMO500214,0
DLMMO500215,0
DLMMO500215,0
DLMMO500215,0
DLMMTS500116,537
DLMMTS500116,537
DLMMTS500116,537
DLMMTS500117,402
DLMMTS500117,402
DLMMTS500117,402
DLMMTS500118,504
DLMMTS500118,504
DLMMTS500118,504
DLMMTS500119,459
DLMMTS500119,459
DLMMTS500119,459
DLMMTS500120,55
DLMMTS500120,55
DLMMTS500120,55
DLMMO500216,222
DLMMO500216,222
DLMMO500216,222
DLMMO500218,281
DLMMO500218,281
DLMMO500218,281
DLMMO500219,174
DLMMO500219,174
DLMMO500219,174
DLMMO500217,366
DLMMO500217,366
DLMMO500217,366
DLMMO500220,598
DLMMO500220,598
DLMMO500220,598
HLY15MTD50SYBA,0
HLY15MTD50SYBA,0
HLY15MTD50SYBA,0
HLY15MTD50RYBA,0
HLY15MTD50RYBA,0
HLY15MTD50RYBA,0
DLMMTS201502,227
DLMMTS201502,227
DLMMTS201502,227
DLMMTS201503,158
DLMMTS201503,158
DLMMTS201503,158
DLMMTS201501,49
DLMMTS201501,49
DLMMTS201501,49
DLMMTS201504,176
DLMMTS201504,176
DLMMTS201504,176
DLMMTS201505,30
DLMMTS201505,30
DLMMTS201505,30
DLMMTS500121,692
DLMMTS500121,692
DLMMTS500121,692
DLMMTS500122,921
DLMMTS500122,921
DLMMTS500122,921
DLMMTS500123,508
DLMMTS500123,508
DLMMTS500123,508
DLMMTS500124,507
DLMMTS500124,507
DLMMTS500124,507
DLMMTS500125,125
DLMMTS500125,125
DLMMTS500125,125
DLMMTS500126,452
DLMMTS500126,452
DLMMTS500126,452
DLMMTS500127,518
DLMMTS500127,518
DLMMTS500127,518
DLMMTS500128,325
DLMMTS500128,325
DLMMTS500128,325
DLMMTS500129,499
DLMMTS500129,499
DLMMTS500129,499
DLMMTS001501,0
DLMMTS001501,0
DLMMTS001501,0
DLMMTS001502,110
DLMMTS001502,110
DLMMTS001502,110
DLMMTS001503,78
DLMMTS001503,78
DLMMTS001503,78
DLMMTS001504,105
DLMMTS001504,105
DLMMTS001504,105
DLMMTS001505,176
DLMMTS001505,176
DLMMTS001505,176
DLMMO500221,0
DLMMO500221,0
DLMMO500221,0
DLMMO500222,0
DLMMO500222,0
DLMMO500222,0
DLMMO500223,254
DLMMO500223,254
DLMMO500223,254
DLMMO500224,26
DLMMO500224,26
DLMMO500224,26
DLMMO500225,52
DLMMO500225,52
DLMMO500225,52
