sku,attribute_set_code,unit_per_pack,product_type,name,weight,product_online,visibility,price,base_image,created_at,qty,parent_sku,brand,color,cost,flavor,manufacturer,nicotine_level,puff_counts,reg_category,volume,pack_size,canonical_name,single_product_sku,original_qty
DLOMYP500509,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Strawberry Pina Colada,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:14 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Strawberry Pina Colada,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | strawberry pina colada,,0
DLOMYP500509,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Strawberry Pina Colada,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:14 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Strawberry Pina Colada,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | strawberry pina colada,,0
DLOMYP500509,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Strawberry Pina Colada,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:14 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Strawberry Pina Colada,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | strawberry pina colada,,0
DLOMYP500510,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Strawberry Sundae,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:14 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Strawberry Sundae,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | strawberry sundae,,0
DLOMYP500510,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Strawberry Sundae,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:14 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Strawberry Sundae,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | strawberry sundae,,0
DLOMYP500510,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Strawberry Sundae,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:14 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Strawberry Sundae,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | strawberry sundae,,0
DLOMYP500511,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Watermelon,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:14 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Watermelon,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | watermelon,,0
DLOMYP500511,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Watermelon,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:14 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Watermelon,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | watermelon,,0
DLOMYP500511,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Watermelon,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:14 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Watermelon,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | watermelon,,0
DLOMYP500512,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Cotton Candy,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:14 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Blue Cotton Candy,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | blue cotton candy,,0
DLOMYP500512,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Cotton Candy,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:14 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Blue Cotton Candy,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | blue cotton candy,,0
DLOMYP500512,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Cotton Candy,1.000000,,Not Visible Individually,99.950000,,"7/8/22, 8:14 AM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Blue Cotton Candy,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | blue cotton candy,,0
DLOMYP500513,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Grape,1.000000,,Not Visible Individually,99.950000,,"9/6/22, 7:51 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Grape,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | grape,,0
DLOMYP500513,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Grape,1.000000,,Not Visible Individually,99.950000,,"9/6/22, 7:51 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Grape,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | grape,,0
DLOMYP500513,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Grape,1.000000,,Not Visible Individually,99.950000,,"9/6/22, 7:51 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Grape,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | grape,,0
DLOMYP500514,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mary Dream,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Mary Dream,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | mary dream,,0
DLOMYP500514,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mary Dream,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Mary Dream,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | mary dream,,0
DLOMYP500514,Disposables,Pack of 10,simple,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mary Dream,1.000000,,Not Visible Individually,99.950000,,"1/31/23, 5:03 PM",0,Lost Mary OS5000 Rechargeable Disposable 10-Pack,Lost Mary,,81.0,Mary Dream,Lost Mary,50mg,0,,,10,lost mary os5000 rechargeable disposable 10-pack | 50mg | mary dream,,0
