default_code,name,categ_id,list_price,standard_price,type,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size
DLOMYP500511,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Watermelon,Disposables,99.95,81.0,goods,0,Watermelon,,50mg,10
DLOMYP500511,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Watermelon,Disposables,99.95,81.0,goods,0,Watermelon,,50mg,10
DLOMYP500511,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Watermelon,Disposables,99.95,81.0,goods,0,Watermelon,,50mg,10
DLOMYP500512,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Cotton Candy,Disposables,99.95,81.0,goods,0,Blue Cotton Candy,,50mg,10
DLOMYP500512,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Cotton Candy,Disposables,99.95,81.0,goods,0,Blue Cotton Candy,,50mg,10
DLOMYP500512,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Blue Cotton Candy,Disposables,99.95,81.0,goods,0,Blue Cotton Candy,,50mg,10
DLOMYP500513,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Grape,Disposables,99.95,81.0,goods,0,Grape,,50mg,10
DLOMYP500513,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Grape,Disposables,99.95,81.0,goods,0,Grape,,50mg,10
DLOMYP500513,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10-Pack-Grape,Disposables,99.95,81.0,goods,0,Grape,,50mg,10
DLOMYP500514,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mary Dream,Disposables,99.95,81.0,goods,0,Mary Dream,,50mg,10
DLOMYP500514,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mary Dream,Disposables,99.95,81.0,goods,0,Mary Dream,,50mg,10
DLOMYP500514,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mary Dream,Disposables,99.95,81.0,goods,0,Mary Dream,,50mg,10
DLOMYP500515,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Black Mint,Disposables,99.95,81.0,goods,0,Black Mint,,50mg,10
DLOMYP500515,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Black Mint,Disposables,99.95,81.0,goods,0,Black Mint,,50mg,10
DLOMYP500515,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Black Mint,Disposables,99.95,81.0,goods,0,Black Mint,,50mg,10
DLOMYP500516,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Spearmint,Disposables,99.95,81.0,goods,0,Spearmint,,50mg,10
DLOMYP500516,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Spearmint,Disposables,99.95,81.0,goods,0,Spearmint,,50mg,10
DLOMYP500516,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Spearmint,Disposables,99.95,81.0,goods,0,Spearmint,,50mg,10
DLOMYP500517,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Watermelon Lemon,Disposables,99.95,81.0,goods,0,Watermelon Lemon,,50mg,10
DLOMYP500517,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Watermelon Lemon,Disposables,99.95,81.0,goods,0,Watermelon Lemon,,50mg,10
DLOMYP500517,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Watermelon Lemon,Disposables,99.95,81.0,goods,0,Watermelon Lemon,,50mg,10
DLOMYP500518,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Peach Mango Watermelon,Disposables,99.95,81.0,goods,0,Peach Mango Watermelon,,50mg,10
