product,location,inventoried_quantity
DFWAFP500003,WH/Z,0
DFWAFP500004,WH/Z,0
DFWAFP500005,WH/Z,0
DFWAFP500006,WH/Z,0
DFWAFP500007,WH/Z,0
DFWAFP500008,WH/Z,0
DFWAFP500009,WH/Z,0
DFWAFP500010,WH/Z,0
DGAHOS500101,WH/E/2/2,0
DGAHOS500102,WH/E/2/2,47
DGAHOS500103,WH/Z,0
DGAHOS500104,WH/E/2/2,0
DGAHOS500105,WH/Z,0
DGAHOS500106,WH/E/2/2,0
DGAHOS500107,WH/E/2/2,19
DGAHOS500108,WH/E/2/2,61
DGAHOS500109,WH/E/2/2,0
DGAHOS500110,WH/Z,0
DGAHOS500111,WH/E/2/2,0
DGAHOS500112,WH/Z,0
DGBABP500501,WH/Z,0
DGBABP500502,WH/Z,0
DGBABP500503,WH/Z,0
DGBABP500504,WH/Z,0
DGBABP500505,WH/Z,0
DGBABP500506,WH/Z,0
DGBABP500507,WH/Z,0
DGBABP500508,WH/Z,0
DGBABP500509,WH/Z,0
DGBABP500510,WH/Z,0
DGBAPP500001,WH/Z,0
DGBAPP500002,WH/Z,0
DGBAPP500003,WH/Z,0
DGBAPP500004,WH/Z,0
DGBAPP500005,WH/Z,0
DGBAPP500006,WH/Z,0
DGBAPP500007,WH/Z,0
DGBAPP500008,WH/Z,0
DGBAPP500009,WH/Z,0
DGBAPP500010,WH/Z,0
DGBAPP500011,WH/Z,0
DGBAPP500012,WH/Z,0
DGBAPP500013,WH/Z,0
DGBAPP500014,WH/Z,0
DGBAPP500015,WH/Z,0
DGBAPP500016,WH/Z,0
DGBAPP500017,WH/Z,0
DGBAPP500018,WH/Z,0
DGBAPP500019,WH/Z,0
DGBAPP500020,WH/Z,0
DGBDFS500201,WH/F/4/3,238
DGBDFS500202,WH/E/1/3,0
DGBDFS500202,WH/F/5/3,139
DGBDFS500203,WH/F/5/3,0
DGBDFS500204,WH/F/4/3,184
DGBDFS500205,WH/F/4/3,2
DGBDFS500206,WH/F/4/3,41
DGBDFS500207,WH/F/4/3,0
DGBDFS500208,WH/E/1/2,0
DGBDFS500208,WH/F/4/3,131
DGBDFS500209,WH/E/3/4,0
DGBDFS500209,WH/F/4/3,127
DGBDFS500210,WH/F/4/3,53
DGBDFS500211,WH/F/4/3,0
DGBDFS500212,WH/E/1/2,40
DGBDFS500212,WH/F/4/3,150
DGBDFS500213,WH/E/1/2,0
DGBDFS500213,WH/F/4/3,141
DGBDFS500214,WH/F/4/3,54
DGBDFS500215,WH/E/1/2,0
DGBMBS503001,WH/E/7/4,0
DGBMBS503001,WH/Z,0
DGBMBS503002,WH/E/7/4,0
DGBMBS503002,WH/Z,420
DGBMBS503003,WH/E/7/4,0
DGBMBS503003,WH/Z,358
DGBMBS503004,WH/E/7/4,0
DGBMBS503004,WH/Z,687
DGBMBS503005,WH/E/7/4,0
DGBMBS503005,WH/Z,174
DGBMBS503006,WH/E/7/4,0
DGBMBS503006,WH/Z,351
DGBMBS503007,WH/E/7/4,0
DGBMBS503007,WH/Z,0
DGBMBS503008,WH/E/7/4,0
DGBMBS503008,WH/Z,393
DGBMBS503009,WH/E/7/4,0
DGBMBS503009,WH/Z,659
DGBMBS503010,WH/E/7/4,0
DGBMBS503010,WH/Z,0
DGBMBS503011,WH/E/7/4,0
DGBMBS503011,WH/Z,3
DGBMBS503012,WH/E/7/4,0
DGBMBS503012,WH/Z,432
DGBMMP500501,WH/Z,16
DGBMMP500502,WH/E/3/2,55
DGBMMP500503,WH/Z,0
DGBMMP500504,WH/E/3/2,207
DGBMMP500505,WH/A/7/4,1
DGBMMP500506,WH/A/7/4,6
DGBMMP500507,WH/A/7/4,0
DGBMMP500507,WH/Z,20
DGBMMP500508,WH/Z,20
DGBMMP500509,WH/Z,18
