product,location,inventoried_quantity
DNORTS500131,WH/Z,0
DNORTS500132,WH/G/3/2,0
DNORTS500132,WH/Z,68
DNOVOP500601,WH/Z,0
DNOVOP500602,WH/Z,0
DNOVOP500603,WH/Z,0
DNOVOP500604,WH/Z,0
DNOVOP500605,WH/Z,0
DNOVOP500606,WH/Z,0
DNOVOP500607,WH/Z,0
DNOVOP500608,WH/Z,0
DNOVOP500609,WH/Z,0
DNOVOP500610,WH/Z,0
DNOVOP500611,WH/Z,0
DNOVOP500612,WH/Z,0
DNOVOP500613,WH/Z,0
DNOVOP500614,WH/Z,0
DNOVOP500615,WH/Z,0
DNOVOP500616,WH/Z,0
DNOVOP500617,WH/Z,0
DNOVOP500618,WH/Z,0
DNOVOP500619,WH/Z,0
DNOVOP500620,WH/Z,0
DNOVOP500621,WH/Z,0
DNOVOP500622,WH/Z,0
DNOVOP500623,WH/Z,0
DNOVOP500624,WH/Z,0
DNOVOP500625,WH/Z,0
DNOVOP500626,WH/Z,0
DNOVOP500901,WH/Z,0
DNOVOP500902,WH/Z,0
DNOVOP500903,WH/Z,0
DNOVOP500904,WH/Z,0
DNOVOP500905,WH/Z,0
DNOVOP500906,WH/A/3/2,17
DNOVOP500907,WH/Z,0
DNOVOP500908,WH/Z,0
DNOVOP500909,WH/Z,0
DNOVOP500910,WH/Z,0
DNOVOP500911,WH/A/3/2,29
DNOVOP500912,WH/Z,0
DNOVOP500913,WH/Z,0
DNOVOP500914,WH/Z,0
DNOVOP500915,WH/Z,0
DNOVOP500916,WH/Z,0
DNOVOP500917,WH/Z,0
DNOVOP500918,WH/Z,0
DNOVOP500919,WH/Z,0
DNOVOP500920,WH/Z,0
DNOVOP500921,WH/Z,0
DNOVOP500922,WH/Z,0
DNOVOP500923,WH/A/3/2,32
DNOVOP500924,WH/Z,0
DNOVOP500925,WH/Z,0
DNOVOP500926,WH/Z,0
DNOVOP500927,WH/Z,0
DNOVOP500928,WH/Z,0
