product,location,inventoried_quantity
DNOVOP500929,WH/A/3/2,29
DNOVOP500930,WH/A/3/2,32
DNOVSS501501,WH/C/4/2,0
DNOVSS501502,WH/C/4/2,53
DNOVSS501503,WH/C/4/2,71
DNOVSS501504,WH/C/4/2,0
DNOVSS501505,WH/C/4/2,29
DNOVSS501506,WH/C/4/2,82
DNOVSS501507,WH/C/4/2,93
DNOVSS501508,WH/C/4/2,91
DNOVSS501509,WH/C/4/2,90
DNOVSS501510,WH/C/4/2,90
DNOVSS501511,WH/C/4/2,74
DNOVSS501512,WH/C/4/2,73
DNOVSS501513,WH/C/4/2,94
DNOVSS501514,WH/C/4/2,89
DNOVSS501515,WH/C/4/2,49
DNOVSS501516,WH/C/4/2,86
DNOVSS501517,WH/C/4/2,88
DNOVSS501518,WH/C/4/2,79
DNOVSS501519,WH/C/4/2,69
DNOVSS501520,WH/C/4/2,82
DNOVSS501521,WH/C/4/2,29
DNOVSS501522,WH/Z,3
DNSDMS504001,WH/D/5/3,36
DNSDMS504002,WH/Z,34
DNSDMS504003,WH/D/5/3,83
DNSDMS504004,WH/D/5/3,0
DNSDMS504005,WH/D/5/3,18
DNSDMS504006,WH/Z,42
DNSDMS504007,WH/D/5/3,0
DNSDMS504008,WH/D/4/3,0
DNSDMS504009,WH/Z,64
DNSDMS504010,WH/D/4/3,27
DNSDMS504011,WH/D/4/3,21
DNSDMS504012,WH/D/4/3,55
DNSDMS504013,WH/D/3/3,102
DNSDMS504014,WH/Z,37
DNSDMS504015,WH/D/3/3,54
DNSDMS504016,WH/Z,39
DNSDMS504017,WH/Z,44
DNSDMS504018,WH/Z,46
DNSDMS504019,WH/Z,31
DNSKNS200501,WH/F/0/4,87
DNSKNS200502,WH/F/0/4,68
DNSKNS200503,WH/F/0/4,0
DNSKNS200504,WH/F/0/4,76
DNSKNS200505,WH/F/0/4,32
DNSKNS200506,WH/F/0/4,18
DNSKNS200507,WH/F/0/4,47
DNSKNS200508,WH/F/0/4,83
DNSKNS200509,WH/F/0/4,49
DNSKNS200510,WH/F/0/4,63
DNSKNS200511,WH/F/0/4,52
DNSKNS200512,WH/F/0/4,33
DNSKNS200513,WH/F/0/4,66
DNTHAS500501,WH/E/3/4,95
DNTHAS500502,WH/E/3/4,94
DNTHAS500503,WH/E/3/4,99
DNTHAS500504,WH/E/3/4,95
DNTHAS500505,WH/E/3/4,95
DNTHAS500506,WH/E/3/4,100
DNTHAS500507,WH/E/3/4,100
DNTHAS500508,WH/E/3/4,100
DNTHAS500509,WH/E/3/4,94
DNXULS505001,WH/F/6/3,86
DNXULS505001,WH/Z,37
DNXULS505002,WH/F/6/3,174
DNXULS505003,WH/F/6/3,33
DNXULS505004,WH/F/6/3,175
DNXULS505005,WH/F/6/3,81
DNXULS505006,WH/F/6/3,43
DNXULS505007,WH/F/6/3,181
DNXULS505008,WH/F/6/2,22
DNXULS505008,WH/F/6/3,0
DNXULS505009,WH/F/6/3,85
DNXULS505010,WH/F/6/2,182
DNXULS505010,WH/F/6/3,137
DNXULS505011,WH/F/6/2,109
DNXULS505011,WH/F/6/3,0
DNXULS505012,WH/F/6/2,78
DNXULS505012,WH/F/6/3,160
DNXULS505013,WH/F/6/2,98
DNXULS505013,WH/F/6/3,0
DNXULS505014,WH/F/6/2,15
DNXULS505014,WH/F/6/3,0
DNXULS505015,WH/F/6/2,133
DNXULS505015,WH/F/6/3,0
DNXULS505016,WH/D/10/1,0
DNXULS505016,WH/Z,35
DNXULS505017,WH/D/10/1,0
DNXULS505017,WH/Z,33
DNXULS505018,WH/D/10/1,89
DNXULS505018,WH/Z,39
DNXULS505019,WH/D/10/1,86
DNXULS505019,WH/Z,37
DNXULS505020,WH/D/10/1,69
DNXULS505020,WH/Z,35
DOBOBS500501,WH/Z,0
DOBOBS500502,WH/Z,0
DOBOBS500503,WH/Z,0
DOBOBS500504,WH/Z,0
DOBOBS500505,WH/Z,0
DOBOBS500506,WH/Z,0
DOBOBS500507,WH/Z,0
DOBOBS500508,WH/Z,0
DOBOBS500509,WH/Z,0
DOFSTS500901,WH/E/7/2,0
DOFSTS500901,WH/Z,38
DOFSTS500902,WH/E/7/2,4
DOFSTS500903,WH/E/7/2,0
DOFSTS500903,WH/Z,10
DOFSTS500904,WH/E/7/2,0
DOFSTS500904,WH/Z,165
DOFSTS500905,WH/C/6/2,0
DOFSTS500905,WH/Z,150
DOFSTS500906,WH/E/7/2,55
DOFSTS500906,WH/Z,50
DOFSTS500907,WH/C/6/2,0
DOFSTS500907,WH/Z,0
DOFSTS500908,WH/E/7/2,0
DOFSTS500908,WH/Z,185
DOMGAP500001,WH/Z,0
DOMGAP500002,WH/Z,0
DOMGAP500003,WH/Z,0
DOMGAP500004,WH/Z,0
DOMGAP500005,WH/Z,0
DOMGAP500006,WH/Z,0
DORBAS505001,WH/D/9/3,8
DORBAS505002,WH/D/9/3,121
DORBAS505002,WH/Z,187
DORBAS505003,WH/Z,27
DORBAS505004,WH/D/9/3,0
DORBAS505005,WH/D/9/3,100
DORBAS505005,WH/Z,342
DORBAS505006,WH/D/9/3,18
DORBAS505007,WH/D/9/3,165
DORBAS505007,WH/Z,88
DORBAS505008,WH/D/9/3,116
DORBAS505008,WH/Z,94
DORBAS505009,WH/D/9/3,0
DORBAS505009,WH/Z,189
DORBAS505010,WH/D/9/3,190
DORBAS505010,WH/Z,197
DORBAS505011,WH/D/9/3,285
DORBAS505011,WH/Z,173
DORBAS505012,WH/D/9/3,191
DORBAS505012,WH/Z,187
DORBAS505013,WH/D/9/3,0
DORBAS505013,WH/Z,192
DORBAS505014,WH/D/9/3,163
DORBAS505014,WH/Z,183
DORBAS505015,WH/D/9/3,23
DOSPKS501601,WH/C/4/1,365
DOSPKS501602,WH/C/4/1,13
DOSPKS501603,WH/C/4/1,327
DOSPKS501604,WH/C/4/1,381
DOSPKS501605,WH/C/4/1,485
DOSXCS502501,WH/E/4/2,98
DOSXCS502501,WH/Z,150
DOSXCS502502,WH/E/4/2,91
DOSXCS502502,WH/Z,0
DOSXCS502503,WH/E/4/2,103
DOSXCS502503,WH/Z,0
DOSXCS502504,WH/E/4/2,101
DOSXCS502504,WH/Z,0
DOSXCS502505,WH/E/4/2,88
DOSXCS502505,WH/Z,150
DOSXCS502506,WH/E/4/2,66
DOSXCS502506,WH/Z,0
DOSXCS502507,WH/E/4/2,109
DOSXCS502507,WH/Z,0
DOSXCS502508,WH/E/4/2,89
DOSXCS502508,WH/Z,150
DOXMMS500101,WH/Z,0
DOXMMS500102,WH/Z,0
DOXMMS500103,WH/Z,0
DOXMMS500104,WH/Z,0
DOXMMS500105,WH/Z,0
DOXMMS500106,WH/Z,0
DOXMMS500107,WH/Z,0
DOXMMS500108,WH/Z,0
DOXMMS500109,WH/Z,0
DOXMMS500110,WH/Z,0
DOXMMS500111,WH/Z,0
DPABAS500701,WH/Z,0
DPABAS500702,WH/Z,0
DPABAS500703,WH/Z,0
DPABAS500704,WH/Z,0
DPABAS500705,WH/Z,0
DPABAS500706,WH/Z,0
DPABAS500707,WH/Z,0
DPABAS500708,WH/Z,0
DPABAS500709,WH/Z,0
DPABAS500710,WH/Z,0
DPALAS500801,WH/D/6/1,36
DPALAS500802,WH/D/6/1,16
DPALAS500803,WH/Z,0
DPALAS500804,WH/Z,0
DPALAS500805,WH/Z,0
DPALAS500806,WH/D/6/1,0
DPALAS500807,WH/Z,0
DPALAS500808,WH/D/6/1,0
DPALAS500809,WH/D/6/1,101
DPALAS500810,WH/D/6/1,0
DPALAS500811,WH/D/6/1,23
DPALAS500812,WH/D/6/1,20
DPALAS500813,WH/D/6/1,0
DPALAS500814,WH/D/6/1,0
DPALAS500815,WH/Z,0
DPALAS500816,WH/Z,0
DPASPP500501,WH/Z,0
DPASPP500502,WH/Z,0
DPASPP500503,WH/E/6/4,0
DPASPP500504,WH/E/6/4,0
DPASPP500505,WH/Z,0
DPASPP500506,WH/Z,0
DPASPP500507,WH/Z,0
DPASPP500508,WH/Z,0
DPASPP500509,WH/Z,0
DPASPP500510,WH/Z,0
DPASPP500511,WH/Z,0
DPASPP500512,WH/Z,0
DPASPP500513,WH/Z,0
DPASPP500514,WH/Z,0
DPASPP500515,WH/Z,0
DPASPP500516,WH/Z,0
DPASPP500517,WH/Z,0
DPASPP500518,WH/Z,0
DPASPP500519,WH/Z,0
DPASPS500101,WH/A/8/2,2
DPASPS500102,WH/A/8/2,0
DPASPS500103,WH/A/8/2,0
DPASPS500104,WH/A/8/2,37
DPASPS500105,WH/Z,0
DPASPS500106,WH/A/8/2,32
DPASPS500107,WH/A/8/2,10
DPASPS500108,WH/A/8/2,0
DPASPS500109,WH/A/8/2,1
DPASPS500109,WH/A/9/2,2
DPASPS500110,WH/Z,0
DPASPS500111,WH/A/9/2,40
DPASPS500112,WH/A/9/2,21
DPBCSS503001,WH/F/0/5,83
DPBCSS503002,WH/F/0/5,80
DPBCSS503003,WH/F/0/5,60
DPBCSS503004,WH/F/0/5,88
DPBCSS503005,WH/F/0/5,55
DPBCSS503006,WH/F/0/5,53
DPBCSS503007,WH/F/0/5,91
DPBCSS503008,WH/F/0/5,81
DPBCSS503009,WH/F/0/5,10
DPBCSS503010,WH/F/0/5,62
DPBCSS503011,WH/F/0/5,56
DPBCSS503012,WH/Z,0
DPDOXS503501,WH/Z,0
DPDOXS503502,WH/Z,0
DPDOXS503503,WH/D/9/1,31
DPDOXS503504,WH/D/9/1,44
DPDOXS503505,WH/D/9/1,31
DPDOXS503506,WH/Z,0
DPDOXS503507,WH/D/9/1,37
DPDOXS503508,WH/Z,100
DPDOXS503509,WH/Z,0
DPDOXS503510,WH/Z,100
DPDOXS503511,WH/Z,0
DPDOXS503512,WH/D/9/1,5
DPDOXS503513,WH/D/9/1,5
DPDOXS503514,WH/Z,97
DPDOXS503515,WH/Z,0
DPDOXS503516,WH/Z,0
DPDOXS503517,WH/D/9/1,11
DPDOXS503518,WH/Z,0
DPDOXS503519,WH/Z,36
DPDOXS503520,WH/Z,0
DPDOXS503521,WH/D/9/1,16
DPDOXS503522,WH/D/9/1,16
DPDOXS503523,WH/Z,99
DPDOXS503524,WH/D/9/1,0
DPDOXS503525,WH/D/9/1,0
DPDOXS503526,WH/Z,98
DPDOXS503527,WH/Z,98
DPFAMP500001,WH/Z,0
DPFAMP500002,WH/Z,0
DPFAMP500003,WH/Z,0
DPFAMP500004,WH/Z,0
DPFAMP500005,WH/Z,0
DPFAMP500006,WH/Z,0
DPFAMP500007,WH/Z,0
DPFAMP500008,WH/Z,0
DPFAMP500009,WH/Z,0
DPFAMP500010,WH/Z,0
DPFAMP500011,WH/Z,0
DPFAMP500012,WH/Z,0
DPFBAP500001,WH/Z,0
DPFBAP500002,WH/Z,0
DPFBAP500003,WH/Z,0
DPFBAP500004,WH/Z,0
DPFBAP500005,WH/Z,0
DPFBAP500006,WH/Z,0
DPFBAP500007,WH/Z,0
DPFBAP500008,WH/Z,0
DPFBAP500009,WH/Z,0
DPFBAP500010,WH/Z,0
DPFBAP500011,WH/Z,0
DPFPLP500001,WH/Z,0
DPFPLP500002,WH/Z,0
DPFPLP500003,WH/Z,0
DPFPLP500004,WH/Z,0
DPFPLP500005,WH/Z,0
DPFPLP500006,WH/Z,0
DPFPLP500007,WH/Z,0
DPFPLP500007,WH/Z,0
DPFPLP500009,WH/Z,0
DPFPLP500010,WH/Z,0
DPFPLP500011,WH/Z,0
DPFPLP500012,WH/Z,0
DPFPLP500013,WH/Z,0
DPFPLP500014,WH/Z,0
DPFPLP500015,WH/Z,0
DPFPLP500016,WH/Z,0
DPFPLP500017,WH/Z,0
DPFPLP500018,WH/Z,0
DPFPLP500019,WH/Z,0
DPFPLP500020,WH/Z,0
DPFPLP500021,WH/Z,0
DPFPLP500022,WH/Z,0
DPFPLP500023,WH/Z,0
DPFPLP500024,WH/Z,0
DPFPLP500025,WH/Z,0
DPFPLP500026,WH/Z,0
DPFPLP500027,WH/Z,0
DPFPLP500028,WH/Z,0
DPFPLP500029,WH/Z,0
DPFPLP500030,WH/Z,0
DPFPLP500031,WH/Z,0
DPFPLP500032,WH/Z,0
DPFPLP500033,WH/Z,0
DPFPLP500034,WH/Z,0
DPFPLP500035,WH/Z,0
DPFPLP500036,WH/Z,0
DPFPLP500038,WH/Z,0
DPFPLP500040,WH/Z,0
DPFPLP500041,WH/Z,0
DPFPLP500042,WH/Z,0
DPFPLP500043,WH/Z,0
DPHUNP500601,WH/Z,0
DPHUNP500602,WH/Z,0
DPHUNP500603,WH/Z,0
DPHUNP500604,WH/Z,0
DPHUNP500605,WH/Z,0
DPHUNP500606,WH/Z,0
DPHUNP500607,WH/Z,0
DPHUNP500608,WH/Z,0
DPHUNP500609,WH/Z,0
DPHUNP500610,WH/Z,0
DPHUNP500611,WH/Z,0
DPHYRP500001,WH/Z,2
DPHYRP500002,WH/E/9/3,16
DPHYRP500003,WH/Z,0
DPHYRP500004,WH/E/8/3,21
DPHYRP500005,WH/E/8/3,32
DPHYRP500006,WH/E/8/3,10
DPHYRP500007,WH/Z,0
DPHYRP500008,WH/E/8/3,11
DPHYRP500009,WH/E/8/3,45
DPHYRP500010,WH/E/8/3,4
DPHYRP500011,WH/E/7/1,0
DPHYRP500012,WH/E/8/3,45
DPITAS500801,WH/B/7/1,107
DPITAS500802,WH/B/7/1,0
DPITAS500803,WH/B/7/1,100
DPITAS500804,WH/B/7/1,90
DPITAS500805,WH/B/7/1,0
DPITAS500806,WH/B/7/1,0
DPITAS500807,WH/B/7/1,0
DPITAS500808,WH/B/7/1,0
DPITAS500809,WH/B/7/1,89
DPITAS500810,WH/B/6/1,0
DPITAS500811,WH/B/7/1,0
DPITAS500812,WH/B/6/1,0
DPITAS500813,WH/B/7/1,0
DPITAS500814,WH/B/7/1,0
DPITAS500815,WH/B/6/1,73
DPITAS500816,WH/B/7/1,170
DPITAS500817,WH/B/7/1,198
DPITAS500818,WH/B/6/1,170
DPITAS500819,WH/B/6/1,146
DPITAS500820,WH/B/6/1,162
DPITAS500821,WH/B/7/1,160
DPITAS504001,WH/E/5/2,0
DPITAS504002,WH/E/5/2,0
DPITAS504003,WH/E/5/2,0
DPITAS504004,WH/E/5/2,0
DPITAS504005,WH/E/5/2,0
DPITAS504006,WH/E/6/1,133
DPITAS504007,WH/E/5/2,0
DPITAS504008,WH/E/6/2,0
DPITAS504009,WH/E/5/2,0
DPITAS504010,WH/E/6/2,0
DPITAS504011,WH/Z,0
DPITAS504012,WH/E/6/2,26
DPITAS504013,WH/E/6/2,11
DPITAS504014,WH/E/6/2,3
DPITAS504015,WH/Z,0
DPITAS504016,WH/E/5/2,177
DPITAS504017,WH/E/5/1,0
DPITAS504018,WH/E/5/2,171
DPITAS504019,WH/E/5/2,24
DPITAS504020,WH/E/6/2,34
DPITAS504021,WH/E/6/2,174
DPITAS504022,WH/E/6/2,162
DPITAS504023,WH/E/6/1,21
DPITAS504024,WH/E/4/1,180
DPITAS504025,WH/E/4/1,152
DPITAS504026,WH/E/5/1,164
DPITAS504027,WH/E/5/1,0
DPITAS504028,WH/E/5/1,122
DPITAS504029,WH/E/5/1,8
DPITAS504030,WH/E/5/1,0
DPITAS504031,WH/E/6/1,151
DPITAS504032,WH/E/5/1,165
DPITAS504033,WH/E/5/1,17
DPITAS504034,WH/E/6/1,4
DPITAS504035,WH/E/6/1,0
DPITAS504036,WH/E/6/1,150
DPITAS504037,WH/E/6/1,142
DPITAS504038,WH/E/5/2,92
DPITAS504039,WH/E/6/2,91
DPITAS504040,WH/E/6/2,84
DPJOXS500301,WH/Z,0
DPJOXS500302,WH/Z,0
DPJOXS500303,WH/Z,0
DPJOXS500304,WH/Z,0
DPJOXS500305,WH/Z,0
DPJOXS500306,WH/Z,0
DPJOXS500307,WH/Z,0
DPJOXS500308,WH/Z,0
DPJOXS500309,WH/Z,0
DPJOXS500310,WH/Z,0
DPJOXS500311,WH/Z,0
DPJOXS500312,WH/Z,0
DPJOXS500313,WH/Z,0
DPJOXS500314,WH/Z,0
DPJOXS500315,WH/Z,0
DPJOXS500316,WH/Z,0
DPJOXS500317,WH/Z,0
DPKEBP400501,WH/Z,0
DPKEBP400502,WH/Z,0
DPKEBP400503,WH/Z,0
DPKEBP400504,WH/Z,0
DPKEBP400505,WH/Z,0
DPKEBP400506,WH/Z,0
DPKEBP400507,WH/Z,0
DPKEBP400508,WH/Z,0
DPKEBP400509,WH/Z,0
DPKEBP400510,WH/K/1/5,3
DPKEBP400511,WH/Z,0
DPKEBP400512,WH/Z,0
DPKEBP400513,WH/K/1/5,13
DPKEBP400514,WH/Z,0
DPKEBP400515,WH/K/1/5,15
DPKEBP400516,WH/Z,0
DPKEBP500501,WH/Z,0
DPKEBP500502,WH/Z,0
DPKEBP500503,WH/Z,0
DPKEBP500504,WH/Z,0
DPKEBP500505,WH/A/6/4,0
DPKEBP500506,WH/Z,0
DPKEBP500507,WH/A/6/4,1
DPKEBP500508,WH/Z,0
DPKEBP500509,WH/Z,0
DPKEBP500510,WH/Z,0
DPKEBP500511,WH/A/6/4,0
DPKEBP500512,WH/Z,0
DPKEBP500513,WH/A/5/4,0
DPKEBP500514,WH/A/6/4,0
DPKEBP500515,WH/Z,0
DPKEBP500516,WH/Z,0
DPKEBP500517,WH/Z,0
DPKEBP500518,WH/Z,0
DPKEBP500519,WH/Z,0
DPKEBP500520,WH/Z,0
DPKEBP500521,WH/Z,0
DPKEBP500522,WH/Z,0
DPKEBP500523,WH/Z,0
DPKEBP500524,WH/Z,0
DPKEBP500525,WH/Z,0
DPKEBP500526,WH/A/6/4,0
DPKEBP500527,WH/Z,0
DPKEBP500528,WH/A/6/4,0
DPKEBP500529,WH/A/5/4,0
DPKEBP500530,WH/Z,0
DPKEBP500531,WH/Z,0
DPKRIP500001,WH/Z,0
DPKRIP500002,WH/Z,0
DPKRIP500003,WH/Z,0
DPKRIP500004,WH/Z,0
DPKRIP500005,WH/Z,0
DPKRIP500006,WH/Z,0
DPKRIP500007,WH/Z,0
DPKRIP500008,WH/Z,0
DPKRIP500009,WH/Z,0
DPKRIP500010,WH/Z,0
DPKRIP500011,WH/Z,0
DPKRIP500012,WH/Z,0
DPKRIP500013,WH/Z,0
DPKRIP500014,WH/Z,0
DPKXCS500101,WH/D/3/3,32
DPKXCS500102,WH/D/3/3,38
DPKXCS500103,WH/D/3/3,51
DPKXCS500104,WH/D/3/2,33
DPKXCS500105,WH/D/3/2,69
DPKXCS500106,WH/D/3/2,0
DPKXCS500107,WH/D/3/2,57
DPKXCS500108,WH/D/3/1,70
DPKXCS500109,WH/D/3/1,63
DPKXCS500110,WH/D/3/1,3
DPKXCS500111,WH/D/3/1,0
DPKXCS500112,WH/D/3/1,24
DPKXCS500113,WH/D/3/1,34
DPKXCS500114,WH/D/3/1,10
DPKXCS500115,WH/D/3/1,56
DPMFLP500401,WH/Z,39
DPPBPS002001,WH/C/6/2,45
DPPBPS002002,WH/C/6/2,0
DPPBPS002003,WH/C/6/2,2
DPPBPS002004,WH/C/6/1,0
DPPBPS002005,WH/C/6/1,26
DPPBPS500201,WH/C/5/1,216
DPPBPS500202,WH/C/6/1,0
DPPBPS500202,WH/Z,69
DPPBPS500203,WH/C/6/1,0
DPPBPS500203,WH/Z,78
DPPBPS500204,WH/A/4/1,0
DPPBPS500204,WH/A/4/2,0
DPPBPS500205,WH/C/6/1,0
DPPBPS500205,WH/Z,85
DPPBPS500206,WH/C/6/1,0
DPPBPS500206,WH/Z,79
DPPBPS500207,WH/C/6/1,0
DPPBPS500207,WH/Z,79
DPPBPS500208,WH/A/4/1,0
DPPBPS500208,WH/Z,0
DPPBPS500209,WH/C/6/1,0
DPPBPS500209,WH/Z,80
DPPBPS500210,WH/C/6/2,0
DPPBPS500210,WH/Z,163
DPPBPS500211,WH/C/6/1,0
DPPBPS500211,WH/Z,70
DPPBPS500212,WH/C/6/1,0
DPPBPS500212,WH/Z,62
DPPBPS500213,WH/C/6/2,18
DPPBPS500214,WH/C/6/2,108
DPPBPS500215,WH/C/6/2,100
DPPBPS500216,WH/Z,0
DPPBPS500217,WH/C/6/2,83
DPPPMS503001,WH/D/8/2,0
DPPPMS503001,WH/Z,69
DPPPMS503002,WH/D/8/2,0
DPPPMS503002,WH/Z,87
DPPPMS503003,WH/D/8/2,0
DPPPMS503003,WH/Z,77
DPPPMS503004,WH/D/8/2,0
DPPPMS503004,WH/Z,93
DPPPMS503005,WH/D/8/2,0
DPPPMS503005,WH/Z,73
DPPPMS503006,WH/D/8/2,0
DPPPMS503006,WH/Z,95
DPPPMS503007,WH/D/8/2,0
DPPPMS503007,WH/Z,68
DPPPMS503008,WH/D/8/2,0
DPPPMS503008,WH/Z,83
DPPPMS503009,WH/D/8/2,0
DPPPMS503009,WH/Z,65
DPPPMS503010,WH/D/8/2,0
DPPPMS503010,WH/Z,67
DPRJGS503001,WH/K/1/4,25
DPRJGS503001,WH/Z,0
DPRJGS503002,WH/E/7/3,0
DPRJGS503002,WH/K/1/4,5
DPRJGS503003,WH/K/1/4,35
DPRJGS503003,WH/Z,0
DPRJGS503004,WH/E/7/3,0
DPRJGS503004,WH/K/1/4,1
DPRJGS503004,WH/Z,0
DPRJGS503005,WH/K/1/4,27
DPRJGS503005,WH/Z,0
DPRJGS503006,WH/E/7/3,0
DPRJGS503006,WH/K/1/4,4
DPRJGS503006,WH/Z,0
DPRJGS503007,WH/E/7/3,0
DPRJGS503007,WH/K/1/4,3
DPRJGS503007,WH/Z,0
DPRJGS503008,WH/K/1/4,22
DPRJGS503008,WH/Z,0
DPRJGS503009,WH/K/1/4,23
DPRJGS503009,WH/Z,0
DPRJGS503010,WH/K/1/4,24
DPRJGS503010,WH/Z,0
DPRPLS500201,WH/B/1/3,0
DPRPLS500202,WH/B/1/3,55
DPRPLS500203,WH/B/1/3,55
DPRPLS500204,WH/B/1/3,53
DPRPLS500205,WH/B/1/3,0
DPRPLS500206,WH/B/1/3,0
DPRPLS500207,WH/B/1/3,24
DPRPLS500208,WH/B/1/2,41
DPRPLS500209,WH/B/1/2,44
DPRPLS500210,WH/B/1/2,46
DPRPLS500211,WH/B/1/2,40
DPRPLS500212,WH/B/1/1,80
DPRPLS500213,WH/B/1/2,51
DPRPLS500214,WH/B/1/1,0
DPRPLS500215,WH/B/1/1,51
DPRPLS500216,WH/B/1/1,50
DPRPLS500217,WH/B/1/1,0
DPRPLS500218,WH/B/1/1,0
DPRPLS500219,WH/B/1/1,69
DPRPLS500220,WH/B/1/2,129
DPRPLS500221,WH/B/1/3,49
DPRPLS500222,WH/B/1/2,0
DPRPLS500223,WH/B/1/2,78
DPRPLS500224,WH/B/1/1,59
DPRPLS500225,WH/B/1/1,51
DPRPLS500226,WH/B/1/2,0
DPRPLS500227,WH/B/1/3,20
DPRPLS500228,WH/B/1/3,0
DPRPLS500229,WH/B/1/2,33
DPRPLS500230,WH/B/1/1,50
DPUTAS000001,WH/F/0/2,0
DPUTAS000002,WH/F/0/2,0
DPUTAS000003,WH/F/0/2,0
DPUTAS000004,WH/F/0/2,0
DPUTAS000005,WH/F/0/2,0
DPUTAS000006,WH/F/0/2,0
DPUTAS000007,WH/F/0/2,0
DPUTAS000008,WH/F/0/2,0
DPVTBS500101,WH/E/8/2,105
DPVTBS500102,WH/D/8/2,0
DPVTBS500103,WH/E/8/2,226
DPVTBS500104,WH/D/8/2,0
DPVTBS500105,WH/E/8/2,118
DPVTBS500106,WH/E/8/2,181
DPVTBS500107,WH/E/8/2,0
DPVTBS500108,WH/E/8/2,177
DPVTBS500109,WH/E/8/2,161
DPVTBS500110,WH/D/7/2,86
DPVTBS500111,WH/E/8/2,0
DPVTBS500111,WH/Z,162
DPVTBS500112,WH/E/9/2,0
DPVTBS500112,WH/Z,138
DPVTBS500113,WH/E/8/2,21
DPVTBS500113,WH/Z,99
DPVTBS500114,WH/E/8/2,0
DPVTBS500114,WH/Z,163
DPVTBS500115,WH/E/8/2,0
DPVTBS500115,WH/Z,155
DPVTBS500116,WH/D/8/1,0
DPVTBS500117,WH/E/8/2,72
DPXSPP500201,WH/C/4/1,0
DPXSPP500202,WH/C/4/1,0
DPXSPP500202,WH/Z,0
DPXSPP500203,WH/C/4/1,0
DPXSPP500203,WH/Z,0
DPXSPP500204,WH/C/4/1,0
DPXSPP500204,WH/Z,0
DPXSPP500205,WH/Z,8
DPXSPP500206,WH/C/4/1,0
DPXSPP500206,WH/Z,0
DPXTLP500001,WH/Z,0
DPXTLP500002,WH/Z,0
DPXTLP500003,WH/Z,0
DPXTLP500004,WH/Z,0
DPXTLP500005,WH/Z,0
DPXTLP500006,WH/Z,0
DPXTLP500007,WH/Z,0
DPXTLP500008,WH/Z,0
DPXTLP500009,WH/Z,0
DPXTLP500010,WH/Z,0
DPXTLP500011,WH/Z,0
DPXTLP500012,WH/Z,0
DPXTLP500013,WH/Z,0
DPXTLP500014,WH/Z,0
DPXTLP500015,WH/Z,0
DPXTLP500016,WH/Z,0
DPXTLP500017,WH/Z,16
DPYNES500801,WH/F/4/2,98
DPYNES500802,WH/F/1/4,98
DPYNES500803,WH/F/1/4,0
DPYNES500803,WH/Z,37
DPYNES500804,WH/F/1/3,22
DPYNES500804,WH/Z,200
DPYNES500805,WH/F/1/4,79
DPYNES500806,WH/F/1/4,178
DPYNES500807,WH/F/1/4,103
DPYNES500808,WH/F/1/4,181
DPYNES500809,WH/F/1/4,118
DPYNES500810,WH/F/1/4,20
DPYNES500810,WH/Z,200
DPYNES500811,WH/F/1/4,51
DPYNES500812,WH/Z,0
DPYNES500813,WH/F/1/4,116
DPYNES500814,WH/F/1/3,79
DPYNES500815,WH/F/1/3,61
DPYNES500816,WH/F/1/3,0
DPYNES500817,WH/F/1/3,93
DPYNES500818,WH/Z,0
DPYNES500819,WH/Z,0
