product,location,inventoried_quantity
DVAIRP500603,WH/Z,0
DVAIRP500604,WH/Z,0
DVAIRP500605,WH/Z,0
DVAIRP500606,WH/Z,0
DVAIRP500607,WH/Z,0
DVAIRP500608,WH/Z,0
DVAIRP500609,WH/Z,0
DVAIRP500610,WH/Z,0
DVAIRP500611,WH/Z,0
DVAIRP500612,WH/Z,0
DVAIRP500613,WH/Z,0
DVAIRP500614,WH/Z,0
DVAIRP500615,WH/Z,0
DVAIRP500616,WH/Z,0
DVAIRP500617,WH/Z,0
DVAIRP500618,WH/Z,0
DVAPGP500001,WH/Z,0
DVAPGP500002,WH/Z,0
DVAPGP500003,WH/Z,0
DVAPGP500004,WH/Z,0
DVAPGP500005,WH/A/8/4,0
DVAPGP500006,WH/Z,0
DVAPGP500007,WH/Z,0
DVAPGP500008,WH/Z,0
DVAPGP500009,WH/Z,0
DVAPGP500010,WH/Z,0
DVAPGP500011,WH/Z,0
DVAPGP500012,WH/Z,0
DVAPGP500013,WH/Z,0
DVAPGP500014,WH/Z,0
DVAPGP500015,WH/Z,0
DVAPGP500016,WH/Z,0
DVAPGP500017,WH/Z,0
DVAPGP500018,WH/Z,0
DVAPGP500019,WH/Z,0
DVAPGP500020,WH/Z,0
DVENGP500001,WH/Z,0
DVENGP500002,WH/Z,0
DVENGP500003,WH/Z,0
DVENGP500004,WH/Z,0
DVENGP500005,WH/Z,0
DVENGP500006,WH/Z,0
DVENGP500007,WH/Z,0
DVENGP500008,WH/Z,0
DVENGP500009,WH/Z,0
DVENGP500010,WH/Z,0
DVENGP500011,WH/Z,0
DVENGP500012,WH/Z,0
DVENGP500013,WH/Z,0
DVENGP500014,WH/Z,0
DVENGP500015,WH/Z,0
DVENGP500016,WH/Z,0
DVIBEP500001,WH/Z,0
DVIBEP500002,WH/Z,0
DVIBEP500003,WH/Z,0
DVIBEP500004,WH/Z,0
DVIBEP500005,WH/Z,0
DVIBEP500006,WH/Z,0
DVIBEP500007,WH/Z,0
DVIBEP500008,WH/Z,0
DVIBEP500009,WH/Z,0
DVIBEP500010,WH/Z,0
DVIBEP500011,WH/Z,0
DVMBAP500001,WH/Z,0
DVMBAP500002,WH/Z,0
DVMBAP500003,WH/Z,0
DVMBAP500004,WH/Z,0
DVMBAP500005,WH/Z,0
DVMBAP500006,WH/Z,0
DVMBAP500007,WH/Z,0
DVNMS503001,WH/Z,0
DVNMS503002,WH/Z,91
DVNMS503003,WH/Z,0
DVNMS503004,WH/Z,0
