SKU,Name,Cost,Quantity
COIL22,"Aspire Nautilus BVC Coils Pack - 1.6ohm",6.70,0
DPFBAP500007,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Strawberry Banana",30.00,0
DLURGP500003,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Banana Mango",42.50,0
DLURGP500005,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Custard Lemon Pie",42.50,0
DLURGP500011,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Peach Ice",42.50,0
DPFBAP500008,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Cool Mint5%",30.00,0
DPFBAP500003,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Lush Ice",40.00,0
DPFBAP500006,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Pineapple Lemonade",35.00,0
DPFBAP500011,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Watermelon",30.00,0
DLURGP500004,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Cool Mint",41.00,0
DLURGP500006,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Filipino Mango",42.50,0
DLURGP500010,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Ice",42.50,0
DLURGP500012,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Strawberry Ice",42.00,0
DPFPLP500042,"Puff Plus Disposable Vape - Pack of 10 - Watermelon",42.50,0
DPFPLP500031,"Puff Plus Disposable Vape - Pack of 10 - Peach Ice",42.50,0
DPFPLP500001,"Puff Plus Disposable Vape - Pack of 10 - Aloe Grape",57.50,0
DPFPLP500041,"Puff Plus Disposable Vape - Pack of 10 - Tangerine Ice",57.50,0
BHOHMP000001,"Hohm Tech Hohm Life 18650 3015mAh 22.1A (2 Pack)",11.45,0
DPFBAP500002,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Cucumber",35.00,0
COIL20,"SMOK Nfix Replacement Pods 3 Pack - Meshed 0.8ohm",4.40,0
COIL40,"VooPoo UForce Coils 5 Pack - N1 0.13hom (Single Mesh)",7.10,0
COIL26,"SMOK Nord Coils 5 Pack - Regular DC Coil - 0.6ohm",6.30,0
COIL21,"Falcon Coils 3 Pack - M1 Mesh 0.15ohm",6.20,0
DPFPLP500028,"Puff Plus Disposable Vape - Pack of 10 - Mixed Berry",57.50,0
DPFPLP500040,"Puff Plus Disposable Vape - Pack of 10 - Strawberry Watermelon",42.50,0
"3-Ply Surgical Face Mask Level 2 - 20 Pack","3-Ply Surgical Face Mask Level 2 - 20 Pack",0.00,500
"3-Ply Surgical Face Mask Level 2 - 100 Pack","3-Ply Surgical Face Mask Level 2 - 100 Pack",0.00,0
BBCETP000002,"Blackcell Electron 18650 Battery 2-Pack",7.50,0
BBCPTP000001,"Blackcell Proton 18650 Single Battery",4.50,0
"Antibacterial Hand Sanitizer 60ML - 20 Bottles","Antibacterial Hand Sanitizer 60ML - 20 Bottles",0.00,1000
"Antibacterial Hand Sanitizer 60ML - 40 Bottles","Antibacterial Hand Sanitizer 60ML - 40 Bottles",0.00,1000
PSMRPP000001,"SMOK RPM Coils 5 Pack - Mesh 0.4ohm",6.25,0
COIL03,"Lost Vape Orion Plus Pod Set",4.00,0
BACKROOM,"Aqua Salts Rainbow Drop Salt-50mg",5.00,0
DPFBAP500004,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Mango",30.00,0
DPFPLP500021,"Puff Plus Disposable Vape - Pack of 10 - Guava Ice",57.50,0
COIL42,"VooPoo PnP Coils 5 Pack - PnP-VM1 Vinci 0.3ohm",7.30,0
DPFBAP500010,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Pink Lemonade",30.00,0
JINVAS502001,"Innevape Salt 30ML - 50mg - Heisenberg Menthol",5.30,0
DPFBAP500001,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Blueberry Ice",30.00,0
DPFBAP500009,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Clear",30.00,0
DPFBAP500005,"Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Menthol",30.00,0
JSVGIS031002,"Sugoi Vapor Series (100mL) -Gi-3mg",5.00,153
JSVGIS061003,"Sugoi Vapor Series (100mL) -Gi-6mg",5.00,163
JSVRES031002,"Sugoi Vapor Series (100mL) -Rei-3mg",7.73,0
JSVRES031003,"Sugoi Vapor Series (100mL) -Rei-6mg",7.73,151
JSVRYS031002,"Sugoi Vapor Series (100mL) -Ryu-3mg",5.00,100
JSVRYS061003,"Sugoi Vapor Series (100mL) -Ryu-6mg",5.00,160
JYVCCS031002,"Yami Vapors Chibi Bar Series 100ML-3mg-Choconola",7.90,144
JYMMGS005001,"Yami Vapors Series 100ML-0mg-Milkgat",7.50,198
JYA100YU00,"Yami Vapors Series 100ML-0mg-Yuki",2.42,0
JYMBBS035002,"Yami Vapors Series 100ML-3mg-Butter Brew",7.50,733
JYMITS065003,"Yami Vapors Series 100ML-6mg-Icy Trio",7.50,266
JYMJUS065003,"Yami Vapors Series 100ML-6mg-Juusu",7.50,975
JYMKMS065003,"Yami Vapors Series 100ML-6mg-Kemuri",7.50,894
JYMMGS065003,"Yami Vapors Series 100ML-6mg-Milkgat",7.50,337
JYMSKS065001,"Yami Vapors Series 100ML-6mg-Shaka",3.00,255
JYMTTS065003,"Yami Vapors Series 100ML-6mg-Taruto",5.00,0
JYMITS005001,"Yami Vapors Series 100ML-0mg-Icy Trio",7.50,642
PJUULP300001,"Juul Pods 4-Pack - 3% - Classic Menthol",9.65,0
PJUULP300002,"Juul Pods 4-Pack - 3% - Virginia Tobacco",9.65,0
COIL31,"Vaporesso Target PM80 Replacement Pod 2 Pack",1.90,3
COIL07,"SMOK RPM80 Pods 3 Pack - RPM Coil Compatible",3.10,6
JHSSZS352001,"Halo Salts Collection 30ML - 35mg - Subzero",5.85,0
JHSTBS352001,"Halo Salts Collection 30ML - 35mg - Tribecca",7.00,0
JHSSZS502002,"Halo Salts Collection 30ML - 50mg - Subzero",7.00,0
JHSTBS502002,"Halo Salts Collection 30ML - 50mg - Tribecca",7.00,0
COIL18,"GeekVape Aegis Boost Replacement Pod 2 Pack",4.60,0
PSMNXP000001,"SMOK Novo X Replacement Pods 3 Pack - 0.8ohm - Meshed",4.90,0
COIL09,"Snowwolf WF Replacement Coils Pack of 5 - WF Gold 0.2ohm",3.90,0
COIL08,"Snowwolf WF Replacement Coils Pack of 5 - WF-H Gold 0.16ohm",13.20,0
COIL13,"Vaporesso EUC Replacement Coil 5 Pack - 0.6ohm - Meshed",0.70,0
PSMR2P000001,"SMOK RPM 2 Coils 5 Pack - 0.16ohm",7.95,0
DLFLOP500012,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Strawberry Hibiscus",47.25,0
DLFLOP500004,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Dragonfruit Mango",47.25,0
DLFLOP500015,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - White Grape Ice",46.00,8
DLFLOP500013,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Vanilla Strawberry Custard",47.50,0
DLFLOP500001,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Banana Ice",47.50,0
DLFLOP500009,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Lychee Strawberry Ice",47.50,0
6239,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Lychee Peach Ice",47.50,0
COIL34,"SMOK RPM160 Replacement Pod - RPM 160 Replacement Pod",2.40,16
BSAMSP000002,"Imren Purple IMR 18650 Battery 2 Pack",9.00,0
COIL27,"SMOK RPM160 Coil 3 Pack - Mesh 0.15ohm",5.10,0
COIL06,"FreeMax FireLuke Mesh Coils 5 Pack - 0.12ohm SS316L",4.90,0
DABLXP500003,"Air Bar Lux Disposable 10-Pack - 50mg - Banana Ice",42.50,0
DABLXP500035,"Air Bar Lux Disposable 10-Pack - 50mg - Watermelon Ice",42.50,0
DABLXP500028,"Air Bar Lux Disposable 10-Pack - 50mg - Strawberry Kiwi",45.00,0
DABLXP500030,"Air Bar Lux Disposable 10-Pack - 50mg - Strawberry Watermelon",42.50,0
DABLXP500029,"Air Bar Lux Disposable 10-Pack - 50mg - Strawberry Mango",42.50,0
DABLXP500008,"Air Bar Lux Disposable 10-Pack - 50mg - Blueberry Raspberry",42.50,0
DABLXP500031,"Air Bar Lux Disposable 10-Pack - 50mg - Sunset Cocktail",42.50,0
DABLXP500025,"Air Bar Lux Disposable 10-Pack - 50mg - Raspberry Watermelon",42.50,0
PVPXRP000001,"Vaporesso Xros Replacement Pods 2-Pack - 0.8ohm",3.04,0
DLFLOP500010,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Lychee Watermelon Ice",47.50,0
DLFLOP500007,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Honeydew Lemon Ice",47.25,0
DLFLOP500014,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Watermelon Ice",47.50,0
DLFLOP500002,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Candy White Peach Ice",46.00,0
DLFLOP500006,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Guava Ice",47.50,0
DLFLOP500011,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Strawberry Banana",47.50,0
JVGD30SS50IBB,"VGOD Salt Collection 30ML - 50mg - Sour Berry Bomb Ice",6.50,0
DLFLOP500003,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Cool Mint",47.50,0
DABLXP500027,"Air Bar Lux Disposable 10-Pack - 50mg - Shake Shake",42.50,0
DABLXP500016,"Air Bar Lux Disposable 10-Pack - 50mg - Grape Ice",42.50,0
DLURGP500002,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Banana Ice",42.50,0
DLURGP500009,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Honey Dew Ice",42.50,0
DLURGP500014,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Strawberry Watermelon",44.00,0
PVPXRP000002,"Vaporesso Xros Replacement Pods 2-Pack - 1.2ohm",3.04,0
XTRTW-BI,"Xtra Twist Disposable 10 Pack - 5% - Banana Ice Cream",55.00,0
XTRTW-CM,"Xtra Twist Disposable 10 Pack - 5% - Cool Mint",55.00,0
XTRTW-GI,"Xtra Twist Disposable 10 Pack - 5% - Grape Ice",55.00,0
XTRTW-GUI,"Xtra Twist Disposable 10 Pack - 5% - Guava Ice",55.00,0
XTRTW-GY,"Xtra Twist Disposable 10 Pack - 5% - Gummy",55.00,0
XTRTW-HI,"Xtra Twist Disposable 10 Pack - 5% - Honeydew Ice",55.00,0
XTRTW-LI,"Xtra Twist Disposable 10 Pack - 5% - Lush Ice",55.00,0
DABLXP500005,"Air Bar Lux Disposable 10-Pack - 50mg - Blueberry Ice",42.50,0
DABLXP500022,"Air Bar Lux Disposable 10-Pack - 50mg - Pineapple Ice",42.50,0
COIL49,"Geek Vape Cerberus 5.5ml Replacement Bubble Glass",0.75,0
DLFLOP500005,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Filipino Mango",47.50,0
DPFPLP500012,"Puff Plus Disposable Vape - Pack of 10 - Coco Melon",60.00,0
BSAMSP000001,"Imren 3000mAh Gold 18650 35A Battery 2 Pack",9.00,0
PSMN3P000001,"SMOK Novo 3 Replacement Pods 3-Pack",4.42,0
DABDMP500018,"Air Bar Diamond Disposable 10-Pack - 5% - Watermelon Ice",30.00,0
DABDMP500003,"Air Bar Diamond Disposable 10-Pack - 5% - Blueberry Ice",30.00,0
DABDMP500014,"Air Bar Diamond Disposable 10-Pack - 5% - Strawberry Kiwi",30.00,0
DABDMP500005,"Air Bar Diamond Disposable 10-Pack - 5% - Cherry Cola",30.00,0
DABDMP500017,"Air Bar Diamond Disposable 10-Pack - 5% - Watermelon Candy",30.00,0
DABDMP500007,"Air Bar Diamond Disposable 10-Pack - 5% - Grape Ice",30.00,0
DLFLOP500008,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Lychee Peach Ice",47.50,0
DPFPLP500022,"Puff Plus Disposable Vape - Pack of 10 - Lime Agave",65.00,0
COIL05,"GeekVape Aegis Hero Replacement Pod 1 PC",6.60,0
COIL04,"Uwell Whirl 2 Replacement Coil 4 Pack - 0.6ohm",3.70,0
COIL45,"Yocan Evolve Plus XL Coils 5 Pack",7.30,0
DLURGP500007,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Frozen Fruit",42.50,0
DLURGP500001,"Lush 1500 Puffs Disposable - Pack of 10 - 5% - Apple Ice",42.50,0
