SKU,Name,Cost,Quantity
DEBULP500506,"Elf Bar BC5000 Ultra Disposable 10-Pack-Kiwi Passionfruit Guava",85.00,0
DEBULP500515,"Elf Bar BC5000 Ultra Disposable 10-Pack-Mint",85.00,0
DEBULP500507,"Elf Bar BC5000 Ultra Disposable 10-Pack-Orange Soda",85.00,0
DEBULP500508,"Elf Bar BC5000 Ultra Disposable 10-Pack-Raspberry Watermelon",85.00,0
DEBULP500509,"Elf Bar BC5000 Ultra Disposable 10-Pack-Strawberry Mango",85.00,0
DEBULP500510,"Elf Bar BC5000 Ultra Disposable 10-Pack-Strawberry Watermelon Bubblegum",85.00,0
DEBULP500511,"Elf Bar BC5000 Ultra Disposable 10-Pack-Strawberry Watermelon Peach",85.00,0
DEBULP500514,"Elf Bar BC5000 Ultra Disposable 10-Pack-Tobacco",85.00,0
DEBULP500512,"Elf Bar BC5000 Ultra Disposable 10-Pack-Tropical Rainbow Blast",85.00,0
DEBULP500513,"Elf Bar BC5000 Ultra Disposable 10-Pack-Watermelon Ice",85.00,0
DTPULP500610,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Watermelon Bubblegum",69.00,0
DTPULP500607,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Red Energy",69.00,0
DTPULP500604,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Cool Mint",69.00,0
DTPULP500605,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Gummy Bear",69.00,2
DTPULP500608,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Strawberry Mango",69.00,0
DTPULP500609,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Strawberry Lychee",69.00,0
DTPULP500606,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Purple Rain",69.00,0
DTPULP500602,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Black Mamba",69.00,0
DTPULP500603,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Banana Ice",69.00,0
DTPULP500601,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Aloe Grape",69.00,0
DFLPBP500601,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Berrymelon Icy",95.00,0
DFLPBP500602,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Blueberry Mint",95.00,0
DFLPBP500603,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Luscious Watermelon",95.00,0
DFLPBP500604,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Passion Kiwi",95.00,0
DFLPBP500605,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Spearmint",95.00,0
DFLPBP500606,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Strawmelon Apple",95.00,0
DFLPBP500607,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Strawberry Coconut",95.00,0
DFLPBP500608,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Menthol",95.00,0
DFLPBP500609,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Clear",95.00,0
DFLPBP500610,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Aloe Grape",95.00,0
DFLPBP500611,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Peach Orange",95.00,0
DFLPBP500612,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Apple Grapefruit",95.00,0
DFLPBP500613,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Matcha",95.00,0
DFLPBP500614,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Vanilla Ice Cream",95.00,0
DFLPBP500615,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Apple",95.00,0
DFLPBP500616,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Cherry Berry",95.00,0
DFLPBP500617,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Passion Grape",95.00,0
DFLPBP500618,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Mango Icy",95.00,0
DFLPBP500619,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Strawmelon",95.00,0
DVAPGP500017,"Vapengin 5500 Puffs Disposable 5-Pack-Sakura Grape",28.00,0
DVAPGP500018,"Vapengin 5500 Puffs Disposable 5-Pack-Strawberry Banana Smoothie",28.00,0
DTPULP500612,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Watermelon Ice",69.00,0
DTPULP500613,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Strawberry Ice Cream",69.00,0
DTPULP500614,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Peach Mango Watermelon",69.00,0
DTPULP500615,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Rainbow Skittles",69.00,0
DTPULP500611,"Tugpod Ultra 6000 Puffs Disposable 10-Pack-Blue Razz Ice",69.00,0
DPKEBP500524,"Pod King x Elf Bar XC5000 Disposable 10-Pack-Straw Fcuking Fab (Limited Edition)",79.00,0
DPKEBP500525,"Pod King x Elf Bar XC5000 Disposable 10-Pack-Pina Fcuking Fab (Limited Edition)",79.00,0
DPKEBP500526,"Pod King x Elf Bar XC5000 Disposable 10-Pack-Strazz Candy (Limited Edition)",81.00,0
DELFBP300505,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Guava Ice",80.00,0
DELFBP300503,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Bubblegum",80.00,0
DELFBP300506,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Kiwi Melon",80.00,0
DELFBP300529,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Sour Candy",80.00,0
DELFBP300504,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Cotton Candy",80.00,0
DELFBP300502,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Blueberry Ice",80.00,0
DSWFTS500025,"SWFT Mod Single Disposable-Frozen Banana",7.50,0
DSWFTS500026,"SWFT Mod Single Disposable-Grape Appleberry",7.50,0
DSWFTS500027,"SWFT Mod Single Disposable-Peppermint",7.50,0
DSWFTS500028,"SWFT Mod Single Disposable-Spearmint",7.50,0
DHOBOP500014,"Puff HotBox 7500 Puffs Disposable 5-Pack-Black Ice",33.00,0
DRAMOP500501,"Royal Ape Mogul 5000 puffs Disposable 10-Pack-Apple Pear Mango",65.00,0
DRAMOP500502,"Royal Ape Mogul 5000 puffs Disposable 10-Pack-Blue Razz Ice",65.00,0
DRAMOP500503,"Royal Ape Mogul 5000 puffs Disposable 10-Pack-Blackberry Pomegranate Ice",65.00,0
DRAMOP500504,"Royal Ape Mogul 5000 puffs Disposable 10-Pack-Cherry Cola",65.00,0
DRAMOP500505,"Royal Ape Mogul 5000 puffs Disposable 10-Pack-Lush Ice",65.00,0
DRAMOP500506,"Royal Ape Mogul 5000 puffs Disposable 10-Pack-Peach Blueberry",65.00,0
DRAMOP500507,"Royal Ape Mogul 5000 puffs Disposable 10-Pack-Rainbow Candy",65.00,0
DRAMOP500508,"Royal Ape Mogul 5000 puffs Disposable 10-Pack-Sweet Mint",65.00,0
DRAMOP500509,"Royal Ape Mogul 5000 puffs Disposable 10-Pack-Watermelon Ice",65.00,0
DNOVOP500601,"SMOK Novo Bar AL6000 Disposable 10-Pack-Blue Razz Ice",50.00,0
DNOVOP500602,"SMOK Novo Bar AL6000 Disposable 10-Pack-Fresh Mint",50.00,0
DNOVOP500603,"SMOK Novo Bar AL6000 Disposable 10-Pack-Peach Ice",50.00,0
DNOVOP500604,"SMOK Novo Bar AL6000 Disposable 10-Pack-Root Beer",50.00,0
DNOVOP500605,"SMOK Novo Bar AL6000 Disposable 10-Pack-Strazz",50.00,0
DNOVOP500606,"SMOK Novo Bar AL6000 Disposable 10-Pack-Watermelon Candy",50.00,0
DFFLOP500036,"Flum Float Disposable 10-Pack-50mg-Strawberry Watermelon",90.00,0
KOPSCS180001,"OPMS Silver Kratom Caps-18g-Green Vein Maeng Da",3.20,0
KOPSCS360001,"OPMS Silver Kratom Caps-36g-Green Vein Maeng Da",4.25,0
KOPSCS720001,"OPMS Silver Kratom Caps-72g-Green Vein Maeng Da",8.25,0
DVTMNS300601,"Veex Taki T32 Mini Cup 6000 Puffs Single Disposable-30mg-Antarctic Ice",6.00,0
DVTMNS300602,"Veex Taki T32 Mini Cup 6000 Puffs Single Disposable-30mg-Chinese Tea",6.00,0
DVTMNS300603,"Veex Taki T32 Mini Cup 6000 Puffs Single Disposable-30mg-Emblic Juice",6.00,0
DVTMNS300604,"Veex Taki T32 Mini Cup 6000 Puffs Single Disposable-30mg-Green Grape",6.00,0
DVTMNS300605,"Veex Taki T32 Mini Cup 6000 Puffs Single Disposable-30mg-Iced Black Currant",6.00,0
DVTMNS300606,"Veex Taki T32 Mini Cup 6000 Puffs Single Disposable-30mg-Iced Green Tea",6.00,0
DVTMNS300607,"Veex Taki T32 Mini Cup 6000 Puffs Single Disposable-30mg-Ice Lemon",6.00,0
DVTMNS300608,"Veex Taki T32 Mini Cup 6000 Puffs Single Disposable-30mg-Iced Lemon Tea",6.00,0
DVTMNS300609,"Veex Taki T32 Mini Cup 6000 Puffs Single Disposable-30mg-Tieguanyin",6.00,0
DHOBOS500014,"Puff HotBox 7500 Puffs Single Disposable-Black Ice",6.75,0
DHOBOS500011,"Puff HotBox 7500 Puffs Single Disposable-Clear",6.75,0
DHOBOS500013,"Puff HotBox 7500 Puffs Single Disposable-White Gummy Ice",6.75,0
KOPSCS180005-1,"OPMS Silver Kratom Caps-18g-Red Vein Sumatra",3.40,0
KREHES080001,"Remarkable Herbs Kratom Powder-8oz-Indo Green Vein",10.50,11
KREHES080002,"Remarkable Herbs Kratom Powder-8oz-Malaysian Green Vein",11.50,0
KREHES080003,"Remarkable Herbs Kratom Powder-8oz-Maeng Da Green Vein",10.50,0
KREHES080004,"Remarkable Herbs Kratom Powder-8oz-Thai Green Vein",10.15,0
KREHES080005,"Remarkable Herbs Kratom Powder-8oz-Vietnam Green Vein",10.50,13
KREHES080006,"Remarkable Herbs Kratom Powder-8oz-Bali Red Vein",11.50,0
KREHES080007,"Remarkable Herbs Kratom Powder-8oz-Maeng Da Red Vein",10.50,0
KREHES080008,"Remarkable Herbs Kratom Powder-8oz-Maeng Da White Vein",10.50,0
KREHES200001,"Remarkable Herbs Kratom Powder-20oz-Indo Green Vein",20.00,12
KREHES200004,"Remarkable Herbs Kratom Powder-20oz-Thai Green Vein",18.50,9
KREHES200002,"Remarkable Herbs Kratom Powder-20oz-Vietnam Green Vein",20.00,7
KREHES200005,"Remarkable Herbs Kratom Powder-20oz-Maeng Da Red Vein",20.00,0
KREHES200003,"Remarkable Herbs Kratom Powder-20oz-Maeng Da White Vein",20.00,0
DELFBP300530,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Watermelon Brzz Ice",80.00,0
DELFBP300531,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Strawberry Watermelon",80.00,0
DELFBP300532,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Summer Time",80.00,0
DELFBP300533,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Strawberry Ice",80.00,0
DELFBP300534,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Strawberry Pina Colada",80.00,0
DELFBP300535,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Watermelon Nana Ice",80.00,0
DELFBP300536,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Strazz",80.00,0
DELFBP300537,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Miami Mint",80.00,0
DKVOSP500306,"Kangvape Onee Stick Disposable 3000 Puffs 10-Pack-Pear Cotton",57.00,0
DKVOSP500313,"Kangvape Onee Stick Disposable 3000 Puffs 10-Pack-Sour Apple",59.00,0
ONT031181,"Lost Vape Centaurus M200 Mod-Dying Light",41.28,0
ONT031182,"Lost Vape Centaurus M200 Mod-Splatoon",41.28,0
DNOVOP500607,"SMOK Novo Bar AL6000 Disposable 10-Pack-Lemonade Chill",50.00,0
DNOVOP500608,"SMOK Novo Bar AL6000 Disposable 10-Pack-Strawnana",50.00,0
DNOVOP500609,"SMOK Novo Bar AL6000 Disposable 10-Pack-Sundown",20.00,0
DNOVOP500610,"SMOK Novo Bar AL6000 Disposable 10-Pack-Mixed Berries",50.00,0
KOPLIP450001,"OPMS Black Liquid Kratom 45-Count Box",371.25,0
DNOVOP500618,"SMOK Novo Bar AL6000 Disposable 10-Pack-Cherry Cola",50.00,0
DNOVOP500619,"SMOK Novo Bar AL6000 Disposable 10-Pack-Raspberry Ice Tea",50.00,0
DNOVOP500611,"SMOK Novo Bar AL6000 Disposable 10-Pack-White Gummy",50.00,0
KOPLIP450002,"OPMS Gold Liquid Kratom 45-Count Box",371.25,0
KOPICP020002,"OPMS Gold Kratom Capsules 2-Count",8.50,0
KOPICP020001,"OPMS Black Kratom Capsules 2-Count",8.50,0
DFLPBP500620,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Blanco Grapefruit",95.00,0
DFLPBP500621,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Cranberry Grape",95.00,0
DVAPGP500019,"Vapengin 5500 Puffs Disposable 5-Pack-Vanilla Ice Cream",28.00,0
DVAPGP500020,"Vapengin 5500 Puffs Disposable 5-Pack-Raspberry Lemon",28.00,0
KREHES200006,"Remarkable Herbs Kratom Powder-20oz-Maeng Da Green Vein",20.00,0
DELFBP300538,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Blue Razz Lemon",80.00,0
BLICOS000001,"Lithicore 21700 Battery 1 Pack-3700mAh",6.99,0
DABMNP500208,"Air Bar Mini 2000 Puffs Disposable 10-Pack-50 mg-Blue Razz",41.00,0
DABMNP500209,"Air Bar Mini 2000 Puffs Disposable 10-Pack-50 mg-Black Ice",41.00,0
DABMNP500207,"Air Bar Mini 2000 Puffs Disposable 10-Pack-50 mg-Watermelon Ice",41.00,0
DABMNP500210,"Air Bar Mini 2000 Puffs Disposable 10-Pack-50 mg-Watermelon Candy",41.00,0
DABMNP500211,"Air Bar Mini 2000 Puffs Disposable 10-Pack-50 mg-Strawberry Kiwi",41.00,0
DABMNP500202,"Air Bar Mini 2000 Puffs Disposable 10-Pack-50 mg-Rainbow Blast",41.00,0
DABMNP500205,"Air Bar Mini 2000 Puffs Disposable 10-Pack-50 mg-Peach Mango Pineapple",41.00,0
DABMNP500201,"Air Bar Mini 2000 Puffs Disposable 10-Pack-50 mg-Peach Blueberry Candy",41.00,0
DABMNP500204,"Air Bar Mini 2000 Puffs Disposable 10-Pack-50 mg-Cool Mint",41.00,0
DABMNP500203,"Air Bar Mini 2000 Puffs Disposable 10-Pack-50 mg-Grape Ice",41.00,0
DABMNP500212,"Air Bar Mini 2000 Puffs Disposable 10-Pack-50 mg-Miami Mint",41.00,0
DABMNP500206,"Air Bar Mini 2000 Puffs Disposable 10-Pack-50 mg-Mixed Berries",41.00,0
DABNXP500602,"Air Bar NEX 6500 Puffs Disposable 10-Pack-50mg-Miami Mint",71.00,0
DABNXP500604,"Air Bar NEX 6500 Puffs Disposable 10-Pack-50mg-Blueberry Ice",71.00,0
DABNXP500603,"Air Bar NEX 6500 Puffs Disposable 10-Pack-50mg-Grape Ice",71.00,0
DABNXP500606,"Air Bar NEX 6500 Puffs Disposable 10-Pack-50mg-Pineapple Coconut",71.00,0
DABNXP500601,"Air Bar NEX 6500 Puffs Disposable 10-Pack-50mg-Pineapple Mango",71.00,0
DABNXP500605,"Air Bar NEX 6500 Puffs Disposable 10-Pack-50mg-Watermelon Ice",71.00,0
KREHES200007,"Remarkable Herbs Kratom Powder-20oz-Malaysian Green Vein",22.50,0
KREHES200008,"Remarkable Herbs Kratom Powder-20oz-Bali Red Vein",22.50,5
DFFLOP500037,"Flum Float Disposable 10-Pack-50mg-Rums Freeze",90.00,0
DPKEBP500527,"Pod King x Elf Bar XC5000 Disposable 10-Pack-Fresh Mint (Limited Edition)",79.00,0
DPKEBP500528,"Pod King x Elf Bar XC5000 Disposable 10-Pack-Peach Fcuking Fab (Limited Edition)",81.00,0
DSWMOP500016,"Snowwolf Mino 6500 Puffs Display Package",825.00,0
DELFBP000067,"Elf Bar BC5000 Disposable 10-Pack-Crazi Berry",78.50,0
DELFBP000068,"Elf Bar BC5000 Disposable 10-Pack-Black Winter",78.50,0
DELFBP000069,"Elf Bar BC5000 Disposable 10-Pack-Beach Day",78.50,0
DELFBP000070,"Elf Bar BC5000 Disposable 10-Pack-Mixed Fruity",78.50,0
DELFBP000071,"Elf Bar BC5000 Disposable 10-Pack-Cranberry Punch",78.50,0
DPKEBP500529,"Pod King x Elf Bar XC5000 Disposable 10-Pack-Blue Razz Fcuking Fab (Limited Edition)",81.00,0
DELFBP300539,"3% Elf Bar BC5000 Disposable 10-Pack-30mg-Malibu",80.00,0
DLVOBP500715,"Orion Bar OB-75 7500 Puffs Disposable 10-Pack-Grape Energy",58.50,0
DLVOBP500714,"Orion Bar OB-75 7500 Puffs Disposable 10-Pack-Orange Ice",58.50,18
DLVOBP500703,"Orion Bar OB-75 7500 Puffs Disposable 10-Pack-Peach Mango Watermelon",58.50,0
DLVOBP500704,"Orion Bar OB-75 7500 Puffs Disposable 10-Pack-Pineapple Ice",58.50,4
DLVOBP500709,"Orion Bar OB-75 7500 Puffs Disposable 10-Pack-Pink Lemonade",58.50,0
DLMMOP500501,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Black Mint",40.50,0
DLMMOP500502,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Blue Trio",40.50,0
DLMMOP500503,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Blueberry Raspberry Lemon",40.50,0
DLMMOP500504,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Cherry Lemon",40.50,54
DLMMOP500505,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Citrus Sunrise",40.50,0
DLMMOP500506,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Energize",40.50,0
DLMMOP500507,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Ginger Beer",40.50,0
DLMMOP500508,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Grape Jelly",40.50,0
DLMMOP500509,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Kiwi Passionfruit Guava",40.50,0
DLMMOP500510,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Lemon Sparkling Wine",40.50,-1
DLMMOP500511,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Mango Peach",40.50,-4
DLMMOP500512,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Mango Peach Watermelon",40.50,0
DLMMOP500513,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Pineapple Apple Pear",40.50,0
DLMMOP500514,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Watermelon Cherry",40.50,0
DLMMOP500515,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Watermelon",40.50,0
DLMMOP500516,"Lost Mary MO5000 Disposable by Elf Bar 5 Pack-Yummy",40.50,0
DHOBOS500015,"Puff HotBox 7500 Puffs Single Disposable-Strawberry Watermelon Bubblegum",6.75,0
DLMMOP500517,"Lost Mary MO5000 Disposable by Elf Bar 5-Pack-Blue Raspberry Pomegranate",40.50,0
DEBLEP500514,"Elf Bar BC5000 Disposable 10-Pack-Blue Cotton Candy (Limited Edition)",78.50,0
DEBLEP500515,"Elf Bar BC5000 Disposable 10-Pack-Sunrise (Limited Edition)",78.50,0
DEBLEP500516,"Elf Bar BC5000 Disposable 10-Pack-Winter Berry (Limited Edition)",78.50,0
DSWFTS500029,"SWFT Mod Single Disposable-Clear",7.50,0
DSWFTS500030,"SWFT Mod Single Disposable-Mojito",7.50,0
DSWFTS500031,"SWFT Mod Single Disposable-Purple Razz",7.50,0
DSPULP500503,"M5 FAB 5500 Puffs By Space Ultra Disposable-Fresh Mint - 10-Pack",75.00,0
DSPULP500502,"M5 FAB 5500 Puffs By Space Ultra Disposable-Dragonfruit FAB-10-Pack",75.00,0
DSPULP500501,"M5 FAB 5500 Puffs By Space Ultra Disposable-Blue Razz FAB - 10-Pack",75.00,0
DSPULP500504,"M5 FAB 5500 Puffs By Space Ultra Disposable-Peach FAB - 10-Pack",75.00,0
DSPULP500506,"M5 FAB 5500 Puffs By Space Ultra Disposable-Straw FAB - 10-Pack",75.00,0
DSPULP500505,"M5 FAB 5500 Puffs By Space Ultra Disposable-Pina FAB - 10-Pack",75.00,0
DFKRPP500701,"Funky Republic TI 7000 Disposable-Blue Razz Ice-10-Pack",93.50,0
DFKRPP500702,"Funky Republic TI 7000 Disposable-California Cherry-10-Pack",93.50,0
DFKRPP500703,"Funky Republic TI 7000 Disposable-Cantaloupe Apple-10-Pack",93.50,0
DFKRPP500704,"Funky Republic TI 7000 Disposable-Passion Fruit Kiwi Lime-10-Pack",93.50,0
DFKRPP500705,"Funky Republic TI 7000 Disposable-Peach Mango Watermelon-10-Pack",93.50,0
DFKRPP500711,"Funky Republic TI 7000 Disposable-Peach Pie-10-Pack",93.50,0
DFKRPP500706,"Funky Republic TI 7000 Disposable-Pineapple Coconut Ice",93.50,0
DFKRPP500712,"Funky Republic TI 7000 Disposable-Pink Bomb-10-Pack",93.50,0
DFKRPP500713,"Funky Republic TI 7000 Disposable-Pomelo Pearl Grape-10-Pack",93.50,0
DFKRPP500707,"Funky Republic TI 7000 Disposable-Rainbow Cloudz-10-Pack",93.50,0
DFKRPP500708,"Funky Republic TI 7000 Disposable-Strawberry Banana-10-Pack",93.50,0
DFKRPP500714,"Funky Republic TI 7000 Disposable-Super Berry-10-Pack",93.50,0
DFKRPP500715,"Funky Republic TI 7000 Disposable-Tropical Island-10-Pack",93.50,0
DFKRPP500709,"Funky Republic TI 7000 Disposable-Tropical Rainbow Blast-10-Pack",93.50,0
DFKRPP500710,"Funky Republic TI 7000 Disposable-Watermelon Ice-10-Pack",93.50,0
DSMBOP500610,"Space Max Box 6000 Puffs Disposable-Watermelon Ice-10-Pack",52.00,0
DSMBOP500611,"Space Max Box 6000 Puffs Disposable-White Peach Razz-10-Pack",52.00,0
DSMBOP500606,"Space Max Box 6000 Puffs Disposable-Fresh Mint-10-Pack",52.00,0
DSMBOP500604,"Space Max Box 6000 Puffs Disposable-Blueberry Raspberry-10-Pack",52.00,0
DSMBOP500605,"Space Max Box 6000 Puffs Disposable-Clear-10-Pack",52.00,0
DSMBOP500603,"Space Max Box 6000 Puffs Disposable-Blueberry Candy-10-Pack",52.00,0
DSMBOP500602,"Space Max Box 6000 Puffs Disposable-Blueberry Bubblegum-10-Pack",52.00,0
DSMBOP500601,"Space Max Box 6000 Puffs Disposable-Black Ice-10-Pack",52.00,0
DSMBOP500608,"Space Max Box 6000 Puffs Disposable-Red Love",52.00,0
DSMBOP500609,"Space Max Box 6000 Puffs Disposable-Strawberry Watermelon Bubblegum-10-Pack",52.00,0
DSMBOP500607,"Space Max Box 6000 Puffs Disposable-Mr Blue-10-Pack",52.00,0
DLMMOP500518,"Lost Mary MO5000 Disposable by Elf Bar 5-Pack-Kiwi Fuse",40.50,0
DLOMYP500514,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mary Dream",81.00,0
DLOMYP500515,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Black Mint",81.00,0
DLOMYP500516,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Spearmint",81.00,0
DLOMYP500517,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Watermelon Lemon",81.00,0
DLOMYP500518,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Peach Mango Watermelon",81.00,0
DLOMYP500519,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mad Blue",81.00,-2
DLOMYP500520,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Peach Lemonade",81.00,0
DLOMYP500521,"Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cherry Cola",81.00,0
DEBTE50A0501,"Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Vanilla Ice Cream",87.50,0
DEBTE500503,"Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Blue Razz Ice",81.00,0
DEBTE500504,"Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Blue Razz Lemonade",87.50,0
DEBTE500505,"Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Kiwi Passion Fruit Guava",87.50,0
DEBTE500506,"Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Strawberry Ice Cream",87.50,0
DEBTE500507,"Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Strawberry Ice",85.00,0
DEBTE500508,"Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Apple Peach",81.00,0
DEBTE500509,"Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Energy",81.00,0
DEBTE500511,"Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Grape",81.00,0
DEBTE500513,"Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Cotton Candy",88.50,0
DEBTE500514,"Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Pineapple Mango Orange",87.50,0
DEBTE500515,"Elf Bar TE5000 5000 Puffs Disposable 10-Pack-Blueberry Ice",87.50,0
DELFBP000072,"Elf Bar BC5000 Disposable 10-Pack-Watermelon Jolly Candy",78.50,0
DFLPBP500623,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-White Gummy",95.00,0
DFLPBP500622,"Flum Pebble 6000 Puffs Rechargeable Disposable 10-Pack-Melo Ice Cream",95.00,0
DEFAMP500521,"Elf Bar Airo Max 5000 Puffs Disposable 10 Pack-Sour Batch",76.00,0
DEFAMP500522,"Elf Bar Airo Max 5000 Puffs Disposable 10 Pack-Cherry Lemonade",76.00,0
DEFAMP500523,"Elf Bar Airo Max 5000 Puffs Disposable 10 Pack-Root Beer",76.00,0
DEFAMP500524,"Elf Bar Airo Max 5000 Puffs Disposable 10 Pack-Pineapple Lemonade",76.00,0
DEFAMP500525,"Elf Bar Airo Max 5000 Puffs Disposable 10 Pack-Florida Crush",76.00,0
DEFAMP500526,"Elf Bar Airo Max 5000 Puffs Disposable 10 Pack-Georgia Peach Ice",76.00,0
DEFAMP500527,"Elf Bar Airo Max 5000 Puffs Disposable 10 Pack-Yummy Bear Ice",76.00,0
DLUCHS500702,"Lucid Charge Disposable 7000 Puffs 12mL Single Disposable-Aloe Pineapple Ice",6.60,192
DLUCHS500706,"Lucid Charge Disposable 7000 Puffs 12mL Single Disposable-Cool Mint",6.60,0
DLUCHS500707,"Lucid Charge Disposable 7000 Puffs 12mL Single Disposable-Dragon Lychee Ice",6.60,0
DLUCHS500713,"Lucid Charge Disposable 7000 Puffs 12mL Single Disposable-Peach Mango Strawberry",6.60,119
DLUCHS500714,"Lucid Charge Disposable 7000 Puffs 12mL Single Disposable-Peach Orange Cranberry",6.60,285
DLUCHS500715,"Lucid Charge Disposable 7000 Puffs 12mL Single Disposable-Sour Blueberry Punch",6.60,59
DLUCHS500708,"Lucid Charge Disposable 7000 Puffs 12mL Single Disposable-Grapple Ice",6.60,54
DLUCHS500716,"Lucid Charge Disposable 7000 Puffs 12mL Single Disposable-Sour Strawberry Punch",6.60,137
DLUCHS500710,"Lucid Charge Disposable 7000 Puffs 12mL Single Disposable-Kiwi Berry Ice",6.60,144
DNOVOP500612,"SMOK Novo Bar AL6000 Disposable 10-Pack-Mr Pepper",50.00,0
DFKRBP500701,"Funky Republic Ti7000 Disposable-5-pack-Blue Razz Ice",48.00,0
