default_code,name,categ_id,list_price,standard_price,type,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size
DGBPUS500143,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | frozen cherry apple",Disposables,13.0,6.95,goods,5000,Frozen Cherry Apple,16mL,5.0%,1
DGBPUS500144,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | frozen blackberry fab",Disposables,13.0,6.95,goods,5000,Frozen Blackberry Fab,16mL,5.0%,1
