default_code,name,categ_id,list_price,standard_price,type,barcode,weight,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size,x_brand,x_resistance
DNOVSS501521,North Vision 15000 Puffs Rechargeable Disposable-Love Story-Single Disposable-5.0%-15mL,All / Disposables,10.0,6.35,goods,840395818770,0.0,15000,Love Story,0,0,1,North,
HNH15V1D50MOMO,North Vision 15000 Puffs Rechargeable Disposable-Mexicao Mango-5-Pack-5.0%-15mL,All / Disposables,52.5,33.75,goods,,1.5,15000,Mexicao Mango,0,0,5,North,
DNOVSS501516,North Vision 15000 Puffs Rechargeable Disposable-Mexicao Mango-Single Disposable-5.0%-15mL,All / Disposables,10.0,6.35,goods,840395817070,0.0,15000,Mexicao Mango,0,0,1,North,
HNH15V1D50SASL,North Vision 15000 Puffs Rechargeable Disposable-Strawnana Swirl-5-Pack-5.0%-15mL,All / Disposables,52.5,33.75,goods,,1.5,15000,Strawnana Swirl,0,0,5,North,
DNOVSS501520,North Vision 15000 Puffs Rechargeable Disposable-Strawnana Swirl-Single Disposable-5.0%-15mL,All / Disposables,10.0,6.35,goods,840395817032,0.0,15000,Strawnana Swirl,0,0,1,North,
HNH15V1D50GETT,North Vision 15000 Puffs Rechargeable Disposable-Grapple Twist-5-Pack-5.0%-15mL,All / Disposables,52.5,33.75,goods,,1.5,15000,Grapple Twist,0,0,5,North,
DNOVSS501514,North Vision 15000 Puffs Rechargeable Disposable-Grapple Twist-Single Disposable-5.0%-15mL,All / Disposables,10.0,6.35,goods,840395817094,0.0,15000,Grapple Twist,0,0,1,North,
HNH15V1D50PPR,North Vision 15000 Puffs Rechargeable Disposable-Peachy Pineapple Refresher-5-Pack-5.0%-15mL,All / Disposables,52.5,33.75,goods,,1.5,15000,Peachy Pineapple Refresher,0,0,5,North,
DNOVSS501518,North Vision 15000 Puffs Rechargeable Disposable-Peachy Pineapple Refresher-Single Disposable-5.0%-15mL,All / Disposables,10.0,6.35,goods,840395817049,0.0,15000,Peachy Pineapple Refresher,0,0,1,North,
HNH15V1D50SYDE,North Vision 15000 Puffs Rechargeable Disposable-Strawberry Dreamshake-5-Pack-5.0%-15mL,All / Disposables,52.5,33.75,goods,,1.5,15000,Strawberry Dreamshake,0,0,5,North,
DNOVSS501519,North Vision 15000 Puffs Rechargeable Disposable-Strawberry Dreamshake-Single Disposable-5.0%-15mL,All / Disposables,10.0,6.35,goods,840395817063,0.0,15000,Strawberry Dreamshake,0,0,1,North,
HNH15V1D50CNBS,North Vision 15000 Puffs Rechargeable Disposable-Cyan Berries-5-Pack-5.0%-15mL,All / Disposables,52.5,33.75,goods,,1.5,15000,Cyan Berries,0,0,5,North,
DNOVSS501513,North Vision 15000 Puffs Rechargeable Disposable-Cyan Berries-Single Disposable-5.0%-15mL,All / Disposables,10.0,6.35,goods,840395817087,0.0,15000,Cyan Berries,0,0,1,North,
HNH15V1D50GMMT,North Vision 15000 Puffs Rechargeable Disposable-Gum Mint-5-Pack-5.0%-15mL,All / Disposables,52.5,33.75,goods,,1.5,15000,Gum Mint,0,0,5,North,
DNOVSS501515,North Vision 15000 Puffs Rechargeable Disposable-Gum Mint-Single Disposable-5.0%-15mL,All / Disposables,10.0,6.35,goods,840395817056,0.0,15000,Gum Mint,0,0,1,North,
DDGFBS502001,"Digiflavor BRK 20,000 Puffs Disposable Pod-Single Disposable-Amazon Lemonade-5.0%-12mL",All / Disposables,8.25,5.6,goods,810164281692,0.0,20000,Amazon Lemonade,0,0,1,DigiFlavor,
DDGFBS502002,"Digiflavor BRK 20,000 Puffs Disposable Pod-Single Disposable-Blue Razz Ice-5.0%-12mL",All / Disposables,8.25,5.6,goods,810164281654,0.0,20000,Blue Razz Ice,0,0,1,DigiFlavor,
DDGFBS502003,"Digiflavor BRK 20,000 Puffs Disposable Pod-Single Disposable-Cherry Strazz-5.0%-12mL",All / Disposables,8.25,5.6,goods,810164281753,0.0,20000,Cherry Strazz,0,0,1,DigiFlavor,
DDGFBS502004,"Digiflavor BRK 20,000 Puffs Disposable Pod-Single Disposable-Day Walker-5.0%-12mL",All / Disposables,8.25,5.6,goods,810164281630,0.0,20000,Day Walker,0,0,1,DigiFlavor,
DDGFBS502005,"Digiflavor BRK 20,000 Puffs Disposable Pod-Single Disposable-Miami Mint-5.0%-12mL",All / Disposables,8.25,5.6,goods,810164281678,0.0,20000,Miami Mint,0,0,1,DigiFlavor,
DDGFBS502006,"Digiflavor BRK 20,000 Puffs Disposable Pod-Single Disposable-Sour Apple Ice-5.0%-12mL",All / Disposables,8.25,5.6,goods,810164281715,0.0,20000,Sour Apple Ice,0,0,1,DigiFlavor,
DDGFBS502007,"Digiflavor BRK 20,000 Puffs Disposable Pod-Single Disposable-Strawberry B-POP-5.0%-12mL",All / Disposables,8.25,5.6,goods,810164281616,0.0,20000,Strawberry B-POP,0,0,1,DigiFlavor,
DDGFBS502008,"Digiflavor BRK 20,000 Puffs Disposable Pod-Single Disposable-Watermelon Ice-5.0%-12mL",All / Disposables,8.25,5.6,goods,810164281739,0.0,20000,Watermelon Ice,0,0,1,DigiFlavor,
