default_code,name,categ_id,list_price,standard_price,type,barcode,weight,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size,x_brand,x_resistance
DVOSTP500910,Vozol Star 9000 Puffs Disposable-Strawberry Kiwi-5-Pack-5.0%,All / Disposables,75.0,29.25,goods,,0.0,0,Strawberry Kiwi,0,0,5,Vozol,
DVOSTS500910,Vozol Star 9000 Puffs Disposable-Strawberry Kiwi-Single Disposable-5.0%,All / Disposables,8.25,5.85,goods,,0.0,0,Strawberry Kiwi,0,0,1,Vozol,
DVOSTP500911,Vozol Star 9000 Puffs Disposable-Strawberry Watermelon-5-Pack-5.0%,All / Disposables,75.0,29.25,goods,,0.0,0,Strawberry Watermelon,0,0,5,Vozol,
DVOSTS500911,Vozol Star 9000 Puffs Disposable-Strawberry Watermelon-Single Disposable-5.0%,All / Disposables,8.25,5.85,goods,,0.0,0,Strawberry Watermelon,0,0,1,Vozol,
DVOSTP500912,Vozol Star 9000 Puffs Disposable-Triple Berries-5-Pack-5.0%,All / Disposables,75.0,29.25,goods,,0.0,0,Triple Berries,0,0,5,Vozol,
DVOSTS500912,Vozol Star 9000 Puffs Disposable-Triple Berries-Single Disposable-5.0%,All / Disposables,8.25,5.85,goods,,0.0,0,Triple Berries,0,0,1,Vozol,
DVOSTP500913,Vozol Star 9000 Puffs Disposable-Watermelon Bubble Gum-5-Pack-5.0%,All / Disposables,75.0,29.25,goods,,0.0,0,Watermelon Bubble Gum,0,0,5,Vozol,
DVOSTS500913,Vozol Star 9000 Puffs Disposable-Watermelon Bubble Gum-Single Disposable-5.0%,All / Disposables,8.25,5.85,goods,,0.0,0,Watermelon Bubble Gum,0,0,1,Vozol,
DVOSTP500914,Vozol Star 9000 Puffs Disposable-Watermelon Ice-5-Pack-5.0%,All / Disposables,75.0,29.25,goods,,0.0,0,Watermelon Ice,0,0,5,Vozol,
DVOSTS500914,Vozol Star 9000 Puffs Disposable-Watermelon Ice-Single Disposable-5.0%,All / Disposables,8.25,0.0,goods,,0.0,0,Watermelon Ice,0,0,1,Vozol,
DLMMOP500534,Lost Mary MO5000 5% Disposable 5-Pack-Cherry Blossom Grape,All / Disposables,54.5,35.5,goods,5056716403869,0.0,5000,Cherry Blossom Grape,0,0,5,Elf Bar,
DLMMOP500533,Lost Mary MO5000 5% Disposable 5-Pack-Kiwi Dragonfruit Berry Ice,All / Disposables,54.5,35.5,goods,,0.0,5000,Kiwi Dragonfruit Berry Ice,0,0,5,Elf Bar,
DLMMOP500521,Lost Mary MO5000 5% Disposable 5-Pack-Tobacco,All / Disposables,54.5,39.75,goods,5056716403494,9.87,5000,Tobacco,0,0,5,Elf Bar,
DLOMYP500544,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Blueberry Raspberry Gami,All / Disposables,99.95,76.0,goods,,0.0,0,Blueberry Raspberry Gami,0,0,10,Lost Mary,
DLOMYP500554,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Berry Passionfruit Grape,All / Disposables,99.95,76.0,goods,5056716404057,0.0,0,Berry Passionfruit Grape,0,0,10,Lost Mary,
DLOMYP500541,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Light Snow Peppermint,All / Disposables,99.95,80.0,goods,,0.0,0,Light Snow Peppermint,0,0,10,Lost Mary,
DLOMYP500542,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Blueberry Raspberry Pomegranate,All / Disposables,99.95,80.0,goods,,0.0,0,Blueberry Raspberry Pomegranate,0,0,10,Lost Mary,
DLMMOP500523,Lost Mary MO5000 5% Disposable 5-Pack-Berry Rose Duo Ice,All / Disposables,49.95,40.5,goods,,0.0,5000,Berry Rose Duo Ice,0,0,5,Elf Bar,
DLMMOP500524,Lost Mary MO5000 5% Disposable 5-Pack-Black Duo Ice,All / Disposables,49.95,40.5,goods,,0.0,5000,Black Duo Ice,0,0,5,Elf Bar,
DLMMOP500525,Lost Mary MO5000 5% Disposable 5-Pack-Fuji Duo Ice,All / Disposables,49.95,40.5,goods,5056716403586,9.87,5000,Fuji Duo Ice,0,0,5,Elf Bar,
DLMMOP500526,Lost Mary MO5000 5% Disposable 5-Pack-Kiwi Dragon Duo Ice,All / Disposables,49.95,40.5,goods,,0.0,5000,Kiwi Dragon Duo Ice,0,0,5,Elf Bar,
DFKLDP500701,Funky Lands Ti7000 Disposable-Blossom Mint-5-Pack-5.0%,All / Disposables,49.99,40.5,goods,5056719900754,2.87,5000,Blossom Mint,0,0,5,Funky Lands,
DFKLDP500702,Funky Lands Ti7000 Disposable-California Cherry-5-Pack-5.0%,All / Disposables,49.99,40.5,goods,,0.0,5000,California Cherry,0,0,5,Funky Lands,
DFKLDP500703,Funky Lands Ti7000 Disposable-Cantaloupe Apple-5-Pack-5.0%,All / Disposables,49.99,40.5,goods,5056719900624,2.87,5000,Cantaloupe Apple,0,0,5,Funky Lands,
DFKLDP500704,Funky Lands Ti7000 Disposable-Strawberry Banana-5-Pack-5.0%,All / Disposables,49.99,40.5,goods,,0.0,5000,Strawberry Banana,0,0,5,Funky Lands,
DFKLDP500705,Funky Lands Ti7000 Disposable-Super Berry/Berry Mix-5-Pack-5.0%,All / Disposables,49.99,40.5,goods,,0.0,5000,Super Berry/Berry Mix,0,0,5,Funky Lands,
DLOMYP500547,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Green Grape Ice (Luster Edition),All / Disposables,99.95,76.0,goods,,0.0,0,Green Grape Ice (Luster Edition),0,0,10,Lost Mary,
DLOMYP500548,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Lemon Lime Passionfruit (Luster Edition),All / Disposables,99.95,76.0,goods,5056716404194,27.23,0,Lemon Lime Passionfruit (Luster Edition),0,0,10,Lost Mary,
DLOMYP500549,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mango Pomelo Dragonfruit (Luster Edition),All / Disposables,99.95,76.0,goods,,0.0,0,Mango Pomelo Dragonfruit (Luster Edition),0,0,10,Lost Mary,
DLOMYP500550,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Mexican Mango (Luster Edition),All / Disposables,99.95,76.0,goods,5056716404217,0.0,0,Mexican Mango (Luster Edition),0,0,10,Lost Mary,
DLOMYP500551,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Strawberry Apple Black Currant (Luster Edition),All / Disposables,99.95,76.0,goods,,0.0,0,Strawberry Apple Black Currant (Luster Edition),0,0,10,Lost Mary,
DLOMYP500552,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Strawberry Banana (Luster Edition),All / Disposables,99.95,76.0,goods,,0.0,0,Strawberry Banana (Luster Edition),0,0,10,Lost Mary,
DLOMYP500553,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Strawberry Guava Mint (Luster Edition),All / Disposables,99.95,76.0,goods,,0.0,0,Strawberry Guava Mint (Luster Edition),0,0,10,Lost Mary,
DLOMYP400519,Lost Mary OS5000 4% Disposable-10-Pack-Forest Mint (Luster Edition)-4%,All / Default,130.0,70.0,goods,6941976291228,27.23,0,Forest Mint (Luster Edition),0,0,10,Lost Mary,
DLOMYP500545,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Cranberry Kiwi,All / Disposables,99.95,76.0,goods,,0.0,0,Cranberry Kiwi,0,0,10,Lost Mary,
DLOMYP500546,Lost Mary OS5000 Rechargeable Disposable by Elf Bar 10 Pack-Miami Mint,All / Disposables,99.95,76.0,goods,,0.0,0,Miami Mint,0,0,10,Lost Mary,
DLMMOP500539,Lost Mary MO5000 5% Disposable 5-Pack-Strawberry Kiwi Ice,All / Disposables,54.5,35.5,goods,,0.0,5000,Strawberry Kiwi Ice,0,0,5,Elf Bar,
DLMMOP500538,Lost Mary MO5000 5% Disposable 5-Pack-Pure,All / Disposables,54.5,35.5,goods,5056716403883,9.87,5000,Pure,0,0,5,Elf Bar,
DLMMOP500540,Lost Mary MO5000 5% Disposable 5-Pack-Banana Raspberry Ice,All / Disposables,54.5,35.5,goods,5056716403852,0.0,5000,Banana Raspberry Ice,0,0,5,Elf Bar,
HPAX18K8D50BDI,Palax KC8000 Disposable-5-Pack-Black Dragon Ice-5.0%,All / Disposables,53.25,45.0,goods,,1.0,0,Black Dragon Ice,0,0,5,Palax,
DPALAS500802,Palax KC8000 Disposable-Single Disposable-Black Dragon Ice-5.0%,All / Disposables,12.99,7.6,goods,6926608115035,2.82,0,Black Dragon Ice,0,0,1,Palax,
HPAX18K8D50MOCL,Palax KC8000 Disposable-5-Pack-Mango Chill-5.0%,All / Disposables,53.25,45.0,goods,,1.0,0,Mango Chill,0,0,5,Palax,
DPALAS500810,Palax KC8000 Disposable-Single Disposable-Mango Chill-5.0%,All / Disposables,12.99,7.6,goods,6926608113116,2.82,0,Mango Chill,0,0,1,Palax,
HPAX18K8D50TRBD,Palax KC8000 Disposable-5-Pack-Tiger Blood-5.0%,All / Disposables,53.25,45.0,goods,,1.0,0,Tiger Blood,0,0,5,Palax,
DPALAS500816,Palax KC8000 Disposable-Single Disposable-Tiger Blood-5.0%,All / Disposables,12.99,7.6,goods,,0.0,0,Tiger Blood,0,0,1,Palax,
DFKLDP500718,Funky Lands Ti7000 Disposable-Pineapple Coconut Ice-5-Pack-5.0%,All / Disposables,49.99,20.5,goods,5056719900679,0.0,5000,Pineapple Coconut Ice,0,0,5,Funky Lands,
DFKLDP500719,Funky Lands Ti7000 Disposable-Watermelon Ice-5-Pack-5.0%,All / Disposables,49.99,20.5,goods,5056719900747,0.0,5000,Watermelon Ice,0,0,5,Funky Lands,
DFKLDP500720,Funky Lands Ti7000 Disposable-Blueberry Duo Ice-5-Pack-5.0%,All / Disposables,49.99,20.5,goods,,0.0,5000,Blueberry Duo Ice,0,0,5,Funky Lands,
DFKLDP500722,Funky Lands Ti7000 Disposable-Melon Berry Bomb Ice-5-Pack-5.0%,All / Disposables,49.99,20.5,goods,5056719901072,0.0,5000,Melon Berry Bomb Ice,0,0,5,Funky Lands,
DFKLDP500721,Funky Lands Ti7000 Disposable-Watermelon Nana Duo Ice-5-Pack-5.0%,All / Disposables,49.99,20.5,goods,5056719901041,0.0,5000,Watermelon Nana Duo Ice,0,0,5,Funky Lands,
DECBCP400508,EBCREATE BC5000 Disposable-10-Pack-Blueberry Tobacco-4%,All / Disposables,98.0,5.1,goods,48952572019201,0.0,5000,Blueberry Tobacco,0,0,10,EBCreate,
DEBEBP400534,EBCREATE BC5000 Disposable-10-Pack-Sunset-4%,All / Disposables,98.0,80.0,goods,4895255208778,20.2,5000,Sunset,0,0,10,EBCreate,
DGBPUS500107,"Geek Bar Pulse 15,000 Puffs Disposable-Mexico Mango-Single Disposable-5.0%",All / Disposables,13.0,6.95,goods,810125434648,3.2,5000,Mexico Mango,0,0,1,Geek Bar,
DGBPUP500107,"Geek Bar Pulse 15,000 Puffs Disposable-Mexico Mango-5-Pack-5.0%",All / Disposables,65.0,34.75,goods,,0.0,5000,Mexico Mango,0,0,5,Geek Bar,
DFIFTS500610,Fifty Bar 6500 Puff Disposable-Pack of 1-Aloe Kiwi Strawberry-50mg,All / Disposables,11.99,6.28,goods,850035543412,0.0,5000,Aloe Kiwi Strawberry,0,0,1,Fifty Bar,
HFIR166FDE50AKS,Fifty Bar 6500 Puff Disposable-Pack of 10-Aloe Kiwi Strawberry-50mg,All / Disposables,110.0,72.5,goods,,1.0,5000,Aloe Kiwi Strawberry,0,0,10,Fifty Bar,
HFR166PD50AKS,Fifty Bar 6500 Puff Disposable-Pack of 5-Aloe Kiwi Strawberry-50mg,All / Disposables,52.25,36.0,goods,,0.4,5000,Aloe Kiwi Strawberry,0,0,5,Fifty Bar,
DFIFTS500611,Fifty Bar 6500 Puff Disposable-Pack of 1-Kyoho Grape Jelly-50mg,All / Disposables,11.99,6.28,goods,850035543405,2.0,5000,Kyoho Grape Jelly,0,0,1,Fifty Bar,
HFIR166FDE50KOGE,Fifty Bar 6500 Puff Disposable-Pack of 10-Kyoho Grape Jelly-50mg,All / Disposables,110.0,72.5,goods,,1.0,5000,Kyoho Grape Jelly,0,0,10,Fifty Bar,
HFR166PD50KGJ,Fifty Bar 6500 Puff Disposable-Pack of 5-Kyoho Grape Jelly-50mg,All / Disposables,52.25,36.0,goods,,0.4,5000,Kyoho Grape Jelly,0,0,5,Fifty Bar,
DFIFTS500608,Fifty Bar 6500 Puff Disposable-Pack of 1-Pacific Cooler-50mg,All / Disposables,11.99,6.28,goods,850035543634,2.0,5000,Pacific Cooler,0,0,1,Fifty Bar,
HFIR166FDE50PCCR,Fifty Bar 6500 Puff Disposable-Pack of 10-Pacific Cooler-50mg,All / Disposables,110.0,85.0,goods,,1.0,5000,Pacific Cooler,0,0,10,Fifty Bar,
HFR166PD50PCCR,Fifty Bar 6500 Puff Disposable-Pack of 5-Pacific Cooler-50mg,All / Disposables,52.25,36.0,goods,,0.4,5000,Pacific Cooler,0,0,5,Fifty Bar,
DFIFTS500609,Fifty Bar 6500 Puff Disposable-Pack of 1-Pink Squares-50mg,All / Disposables,11.99,6.28,goods,850035543627,2.0,5000,Pink Squares,0,0,1,Fifty Bar,
HFIR166FDE50PKSS,Fifty Bar 6500 Puff Disposable-Pack of 10-Pink Squares-50mg,All / Disposables,110.0,72.5,goods,,1.0,5000,Pink Squares,0,0,10,Fifty Bar,
HFR166PD50PKSS,Fifty Bar 6500 Puff Disposable-Pack of 5-Pink Squares-50mg,All / Disposables,52.25,36.0,goods,,0.4,5000,Pink Squares,0,0,5,Fifty Bar,
DFIFTS500618,Fifty Bar 6500 Puff Disposable-Pack of 1-Triple Watermelon-50mg,All / Disposables,11.99,6.28,goods,850035543399,0.0,5000,Triple Watermelon,0,0,1,Fifty Bar,
HFIR166FDE50TEWN,Fifty Bar 6500 Puff Disposable-Pack of 10-Triple Watermelon-50mg,All / Disposables,110.0,72.5,goods,,1.0,5000,Triple Watermelon,0,0,10,Fifty Bar,
HFR166PD50TEWN,Fifty Bar 6500 Puff Disposable-Pack of 5-Triple Watermelon-50mg,All / Disposables,52.25,36.0,goods,,0.4,5000,Triple Watermelon,0,0,5,Fifty Bar,
DFKLDP500716,Funky Lands Ti7000 Disposable-Mango Kiss-5-Pack-5.0%,All / Disposables,49.99,20.5,goods,5056719900976,0.0,5000,Mango Kiss,0,0,5,Funky Lands,
DFKLDP500717,Funky Lands Ti7000 Disposable-OSK Ice-5-Pack-5.0%,All / Disposables,49.99,20.5,goods,5056719900990,0.0,5000,OSK Ice,0,0,5,Funky Lands,
DLVOBP500737,Orion Bar OB-75 7500 Puffs Disposable 10-Pack-Blue Slurpee,All / Disposables,40.0,58.5,goods,,0.0,5000,Blue Slurpee,0,0,10,Lost Vape,
