default_code,name,categ_id,list_price,standard_price,type,barcode,weight,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size,x_brand,x_resistance
DGBPUS500137,"Geek Bar Pulse 15,000 Puffs Disposable-Mixed Berry Ice (INT)-Single Disposable-5.0%",All / Disposables,13.0,6.95,goods,,0.0,5000,Mixed Berry Ice (INT),0,0,1,Geek Bar,
DFLOQS500101,"FLONQ Max Smart Disposable 10,000 Puffs-Single Disposable-Banana Milkshake-50mg",All / Disposables,10.25,6.85,goods,1230000157537,2.43,5000,Banana Milkshake,0,0,1,FLONQ,
DFLOQS500102,"FLONQ Max Smart Disposable 10,000 Puffs-Single Disposable-Strawberry Watermelon-50mg",All / Disposables,10.25,6.85,goods,1230000157520,2.43,5000,Strawberry Watermelon,0,0,1,FLONQ,
DFLOQS500105,"FLONQ Max Smart Disposable 10,000 Puffs-Single Disposable-Yummy Bear-50mg",All / Disposables,10.25,6.85,goods,6297001469712,2.43,5000,Yummy Bear,0,0,1,FLONQ,
DFLOQS500106,"FLONQ Max Smart Disposable 10,000 Puffs-Single Disposable-Watermelon Ice-50mg",All / Disposables,10.25,6.85,goods,6297001469774,2.43,5000,Watermelon Ice,0,0,1,FLONQ,
DFLOQS500107,"FLONQ Max Smart Disposable 10,000 Puffs-Single Disposable-Cherry Peach Lemonade-50mg",All / Disposables,10.25,6.85,goods,1230000157469,2.43,5000,Cherry Peach Lemonade,0,0,1,FLONQ,
DFLOQS500108,"FLONQ Max Smart Disposable 10,000 Puffs-Single Disposable-Milk Chocolate-50mg",All / Disposables,10.25,6.85,goods,6297001469729,2.43,5000,Milk Chocolate,0,0,1,FLONQ,
DFLOQS500109,"FLONQ Max Smart Disposable 10,000 Puffs-Single Disposable-Pink Lemonade-50mg",All / Disposables,10.25,6.85,goods,1230000157445,2.43,5000,Pink Lemonade,0,0,1,FLONQ,
DFLOQS500111,"FLONQ Max Smart Disposable 10,000 Puffs-Single Disposable-Mixed Berries-50mg",All / Disposables,10.25,6.85,goods,1230000157551,2.43,5000,Mixed Berries,0,0,1,FLONQ,
DFLOQS500112,"FLONQ Max Smart Disposable 10,000 Puffs-Single Disposable-Mint Chill-50mg",All / Disposables,10.25,6.85,goods,6297001469743,2.43,5000,Mint Chill,0,0,1,FLONQ,
DFLOQS500113,"FLONQ Max Smart Disposable 10,000 Puffs-Single Disposable-Clear-50mg",All / Disposables,10.25,6.85,goods,1230000157704,2.43,5000,Clear,0,0,1,FLONQ,
DWOFRS500101,IJoy Woofr 15000 Puff Disposable-Single Disposable-Apple Gummies-50mg,All / Default,10.99,3.1,goods,6941264671527,0.0,0,Apple Gummies,0,0,1,iJoy,
DWOFRS500102,IJoy Woofr 15000 Puff Disposable-Single Disposable-Apple Peach-50mg,All / Default,10.99,3.1,goods,6941264671602,0.0,0,Apple Peach,0,0,1,iJoy,
DWOFRS500103,IJoy Woofr 15000 Puff Disposable-Single Disposable-Blue Razz-50mg,All / Default,10.99,3.1,goods,6941264671534,0.0,0,Blue Razz,0,0,1,iJoy,
JYMNMS000001,Sengoku Vapor 100mL-Ninja Man-0mg,All / E-liquid,10.0,7.0,goods,,0.0,0,Ninja Man,0,0,1,Sengoku,
JYMNMS000003,Sengoku Vapor 100mL-Ninja Man-3mg,All / E-liquid,10.0,7.0,goods,853418007013,0.0,0,Ninja Man,0,0,1,Sengoku,
JYMNMS000006,Sengoku Vapor 100mL-Ninja Man-6mg,All / E-liquid,10.0,7.0,goods,853418007020,0.0,0,Ninja Man,0,0,1,Sengoku,
OSSW9K-BRI,Off-Stamp SW9000 9000 Puffs Disposable Kit-5-Pack-Blue Razz Ice-5.0%,All / Disposables,75.0,20.0,goods,,1.0,0,Blue Razz Ice,0,0,5,Off-Stamp,
DOFSTS500901,Off-Stamp SW9000 Disposable Kit-Single Disposable-Blue Razz Ice-5.0%,All / Disposables,10.0,6.6,goods,5061028590848,2.3,0,Blue Razz Ice,0,0,1,Off-Stamp,
OSSW9K-WI,Off-Stamp SW9000 9000 Puffs Disposable Kit-5-Pack-Watermelon Ice-5.0%,All / Disposables,75.0,32.5,goods,,1.0,0,Watermelon Ice,0,0,5,Off-Stamp,
DOFSTS500908,Off-Stamp SW9000 Disposable Kit-Single Disposable-Watermelon Ice-5.0%,All / Disposables,10.0,6.6,goods,5061028590916,2.3,0,Watermelon Ice,0,0,1,Off-Stamp,
