default_code,name,categ_id,list_price,standard_price,type,barcode,weight,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size,x_brand,x_resistance
DPFBAP500001,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Blueberry Ice,All / Disposables,47.25,30.0,goods,,0.0,0,Blueberry Ice,0,0,10,Puff,
DPFBAP500009,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Clear,All / Disposables,40.5,30.0,goods,,0.0,0,Clear,0,0,10,Puff,
DPFBAP500008,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Cool Mint5%,All / Disposables,40.5,30.0,goods,,0.0,0,Cool Mint,0,0,10,Puff,
DPFBAP500002,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Cucumber,All / Disposables,47.25,35.0,goods,,0.0,0,Cucumber,0,0,10,Puff,
DPFBAP500003,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Lush Ice,All / Disposables,27.0,40.0,goods,,0.0,0,Lush Ice,0,0,10,Puff,
DPFBAP500004,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Mango,All / Disposables,40.5,30.0,goods,,0.0,0,Mango,0,0,10,Puff,
DPFBAP500005,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Menthol,All / Disposables,40.5,30.0,goods,,0.0,0,Menthol,0,0,10,Puff,
DPFBAP500006,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Pineapple Lemonade,All / Disposables,47.25,35.0,goods,,0.0,0,Pineapple Lemonade,0,0,10,Puff,
DPFBAP500010,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Pink Lemonade,All / Disposables,40.5,30.0,goods,,0.0,0,Pink Lemonade,0,0,10,Puff,
DPFBAP500007,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Strawberry Banana,All / Disposables,40.5,30.0,goods,,0.0,0,Strawberry Banana,0,0,10,Puff,
DPFBAP500011,Puff Bar Disposable E-Cigs 1.3mL - Pack of 10 - 5% Nicotine - Watermelon,All / Disposables,40.5,30.0,goods,,0.0,0,Watermelon,0,0,10,Puff,
DLURGP500003,Lush 1500 Puffs Disposable - Pack of 10 - 5% - Banana Mango,All / Disposables,57.38,42.5,goods,,0.0,5000,Banana Mango,0,0,10,LUSH,
DLURGP500004,Lush 1500 Puffs Disposable - Pack of 10 - 5% - Cool Mint,All / Disposables,55.35,41.0,goods,,0.0,5000,Cool Mint,0,0,10,LUSH,
DLURGP500005,Lush 1500 Puffs Disposable - Pack of 10 - 5% - Custard Lemon Pie,All / Disposables,57.38,42.5,goods,,0.0,5000,Custard Lemon Pie,0,0,10,LUSH,
DLURGP500006,Lush 1500 Puffs Disposable - Pack of 10 - 5% - Filipino Mango,All / Disposables,57.38,42.5,goods,,0.0,5000,Filipino Mango,0,0,10,LUSH,
DLURGP500010,Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Ice,All / Disposables,57.38,42.5,goods,,0.0,5000,Lychee Ice,0,0,10,LUSH,
DLURGP500011,Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Peach Ice,All / Disposables,57.38,42.5,goods,,0.0,5000,Lychee Peach Ice,0,0,10,LUSH,
DLURGP500012,Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Strawberry Ice,All / Disposables,57.38,42.0,goods,,0.0,5000,Lychee Strawberry Ice,0,0,10,LUSH,
DLURGP500013,Lush 1500 Puffs Disposable - Pack of 10 - 5% - Lychee Watermelon Ice,All / Disposables,57.04,42.25,goods,,0.0,5000,Lychee Watermelon Ice,0,0,10,LUSH,
DLURGP500015,Lush 1500 Puffs Disposable - Pack of 10 - 5% - Vanilla Strawberry Custard,All / Disposables,57.38,41.0,goods,,0.0,5000,Vanilla Strawberry Custard,0,0,10,LUSH,
DPFPLP500001,Puff Plus Disposable Vape - Pack of 10 - Aloe Grape,All / Disposables,53.33,57.5,goods,,0.0,0,Aloe Grape,0,0,10,Puff,
DPFPLP500016,Puff Plus Disposable Vape - Pack of 10 - Cool Mint,All / Disposables,24.3,50.0,goods,,0.0,0,Cool Mint,0,0,10,Puff,
DPFPLP500021,Puff Plus Disposable Vape - Pack of 10 - Guava Ice,All / Disposables,77.63,57.5,goods,,0.0,0,Guava Ice,0,0,10,Puff,
DPFPLP500023,Puff Plus Disposable Vape - Pack of 10 - Lychee Ice,All / Disposables,77.63,57.5,goods,,0.0,0,Lychee Ice,0,0,10,Puff,
DPFPLP500028,Puff Plus Disposable Vape - Pack of 10 - Mixed Berry,All / Disposables,77.63,57.5,goods,,0.0,0,Mixed Berry,0,0,10,Puff,
DPFPLP500031,Puff Plus Disposable Vape - Pack of 10 - Peach Ice,All / Disposables,65.0,42.5,goods,,0.0,0,Peach Ice,0,0,10,Puff,
DPFPLP500040,Puff Plus Disposable Vape - Pack of 10 - Strawberry Watermelon,All / Disposables,65.0,42.5,goods,,0.0,0,Strawberry Watermelon,0,0,10,Puff,
DPFPLP500041,Puff Plus Disposable Vape - Pack of 10 - Tangerine Ice,All / Disposables,65.0,57.5,goods,,0.0,0,Tangerine Ice,0,0,10,Puff,
DPFPLP500042,Puff Plus Disposable Vape - Pack of 10 - Watermelon,All / Disposables,65.0,42.5,goods,,0.0,0,Watermelon,0,0,10,Puff,
ONT001682,Aqua Salts Pure Salt-35mg,All / E-liquid,6.75,5.0,goods,,0.0,0,Pure,0,0,1,MARINA VAPE,
ONT001683,Aqua Salts Pure Salt-50mg,All / E-liquid,6.75,5.0,goods,,0.0,0,Pure,0,0,1,MARINA VAPE,
ONT006689,Aqua Salts Rainbow Drop Ice Salt-35mg,All / E-liquid,6.75,5.0,goods,,0.0,0,Rainbow Drop Ice,0,0,1,MARINA VAPE,
ONT006690,Aqua Salts Rainbow Drop Ice Salt-50mg,All / E-liquid,6.75,5.0,goods,,0.0,0,Rainbow Drop Ice,0,0,1,MARINA VAPE,
ONT001684,Aqua Salts Rainbow Drop Salt-35mg,All / E-liquid,6.75,5.0,goods,,0.0,0,Rainbow Drop,0,0,1,MARINA VAPE,
ONT001686,Aqua Salts Sour Melon (Swell) -Salt-35mg,All / E-liquid,6.75,5.0,goods,,0.0,0,Sour Melon,0,0,1,MARINA VAPE,
JSVGIS031002,Sugoi Vapor Series (100mL) -Gi-3mg,All / E-liquid,7.99,5.0,goods,644216693863,0.0,0,Gi,0,0,1,SUGOI,
JSVGIS061003,Sugoi Vapor Series (100mL) -Gi-6mg,All / E-liquid,7.99,5.0,goods,644216693962,0.0,0,Gi,0,0,1,SUGOI,
JSVRES031002,Sugoi Vapor Series (100mL) -Rei-3mg,All / E-liquid,9.99,7.73,goods,,0.0,0,Rei,0,0,1,SUGOI,
JSVRES031003,Sugoi Vapor Series (100mL) -Rei-6mg,All / E-liquid,7.99,7.73,goods,752830784567,0.0,0,Rei,0,0,1,SUGOI,
JSVSKS061001,Sugoi Vapor Series (100mL) -Sakura-6mg,All / E-liquid,7.99,5.0,goods,752830274730,0.0,0,Sakura,0,0,1,SUGOI,
JYSITS352001,Yami Vapors Salt Series 30ML-35mg-Icy Trio,All / E-liquid,7.5,6.5,goods,752830786165,0.0,0,Icy Trio,0,0,1,YAMI VAPORS,
JYSJUS352001,Yami Vapors Salt Series 30ML-35mg-Juusu,All / E-liquid,7.5,6.5,goods,752830785861,0.0,0,Juusu,0,0,1,YAMI VAPORS,
JYSTTS352001,Yami Vapors Salt Series 30ML-35mg-Taruto,All / E-liquid,7.5,6.5,goods,752830785960,0.0,0,Taruto,0,0,1,YAMI VAPORS,
JYSITS502002,Yami Vapors Salt Series 30ML-50mg-Icy Trio,All / E-liquid,7.5,6.5,goods,752830922655,0.0,0,Icy Trio,0,0,1,YAMI VAPORS,
JYSJUS502002,Yami Vapors Salt Series 30ML-50mg-Juusu,All / E-liquid,7.5,6.5,goods,752830785762,0.0,0,Juusu,0,0,1,YAMI VAPORS,
JYSTTS502002,Yami Vapors Salt Series 30ML-50mg-Taruto,All / E-liquid,7.5,6.5,goods,752830415652,0.0,0,Taruto,0,0,1,YAMI VAPORS,
JYMBBS005001,Yami Vapors Series 100ML-0mg-Butter Brew,All / E-liquid,9.95,7.5,goods,701197971790,0.0,0,Butter Brew,0,0,1,YAMI VAPORS,
JYMITS005001,Yami Vapors Series 100ML-0mg-Icy Trio,All / E-liquid,9.95,7.5,goods,701197973886,0.0,0,Icy Trio,0,0,1,YAMI VAPORS,
JYMJUS005001,Yami Vapors Series 100ML-0mg-Juusu,All / E-liquid,9.95,7.5,goods,752830923553,0.0,0,Juusu,0,0,1,YAMI VAPORS,
JYMKMS005001,Yami Vapors Series 100ML-0mg-Kemuri,All / E-liquid,9.95,7.5,goods,644216148677,0.0,0,Kemuri,0,0,1,YAMI VAPORS,
JYMMGS005001,Yami Vapors Series 100ML-0mg-Milkgat,All / E-liquid,9.95,7.5,goods,752830187139,0.0,0,Milkgat,0,0,1,YAMI VAPORS,
JYMTTS005001,Yami Vapors Series 100ML-0mg-Taruto,All / E-liquid,9.95,7.5,goods,701197971851,0.0,0,Taruto,0,0,1,YAMI VAPORS,
JYMBBS035002,Yami Vapors Series 100ML-3mg-Butter Brew,All / E-liquid,9.95,7.5,goods,701197971806,0.0,0,Butter Brew,0,0,1,YAMI VAPORS,
JYMITS035002,Yami Vapors Series 100ML-3mg-Icy Trio,All / E-liquid,9.95,7.5,goods,701197973893,0.0,0,Icy Trio,0,0,1,YAMI VAPORS,
JYMJUS035002,Yami Vapors Series 100ML-3mg-Juusu,All / E-liquid,9.95,7.5,goods,752830923751,0.0,0,Juusu,0,0,1,YAMI VAPORS,
JYMKMS035002,Yami Vapors Series 100ML-3mg-Kemuri,All / E-liquid,9.95,7.5,goods,644216148776,0.0,0,Kemuri,0,0,1,YAMI VAPORS,
JYMMGS035002,Yami Vapors Series 100ML-3mg-Milkgat,All / E-liquid,9.95,7.5,goods,752830187337,0.0,0,Milkgat,0,0,1,YAMI VAPORS,
JYMTTS035002,Yami Vapors Series 100ML-3mg-Taruto,All / E-liquid,9.95,7.5,goods,,0.0,0,Taruto,0,0,1,YAMI VAPORS,
JYMBBS065003,Yami Vapors Series 100ML-6mg-Butter Brew,All / E-liquid,9.95,7.5,goods,701197971813,0.0,0,Butter Brew,0,0,1,YAMI VAPORS,
JYMITS065003,Yami Vapors Series 100ML-6mg-Icy Trio,All / E-liquid,9.95,7.5,goods,701197973909,0.0,0,Icy Trio,0,0,1,YAMI VAPORS,
JYMJUS065003,Yami Vapors Series 100ML-6mg-Juusu,All / E-liquid,9.95,7.5,goods,752830923850,0.0,0,Juusu,0,0,1,YAMI VAPORS,
JYMKMS065003,Yami Vapors Series 100ML-6mg-Kemuri,All / E-liquid,9.95,7.5,goods,644216148875,0.0,0,Kemuri,0,0,1,YAMI VAPORS,
JYMMGS065003,Yami Vapors Series 100ML-6mg-Milkgat,All / E-liquid,9.95,7.5,goods,752830187436,0.0,0,Milkgat,0,0,1,YAMI VAPORS,
JYMSKS065001,Yami Vapors Series 100ML-6mg-Shaka,All / E-liquid,9.95,3.0,goods,752830801660,0.0,0,Shaka,0,0,1,YAMI VAPORS,
JYMTTS065003,Yami Vapors Series 100ML-6mg-Taruto,All / E-liquid,11.5,5.0,goods,701197971875,0.0,0,Taruto,0,0,1,YAMI VAPORS,
ONT003076,SMOK Novo Mesh Coil Pod 0.8ohm,All / Replacement Pods,5.72,3.9,goods,,0.0,0,,0,0,1,SMOK,Mesh Coil Pod 0.8ohm
J05412,Halo Collection 60ML - 0mg - Subzero,All / E-liquid,9.99,7.5,goods,,0.0,0,Subzero,0,0,1,Halo,
